CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,09,390","59,538","22,93,475",11.49,18.85,-56.35,"17,355",18.75,18.85,"17,355","25,450.00",195,371.70,372.60,195,197.95,371.90,10.69,"4,16,098","-2,364","10,051",
,"3,11,201","1,35,343","39,32,213",11.77,15.00,-43.30,"19,110",14.95,15.00,"20,605","25,500.00",390,417.50,418.50,325,211.75,418.35,10.53,"5,63,888","-7,163","48,941",
,"94,234","48,195","15,51,447",12.13,12.05,-32.60,"12,935",12.00,12.10,"13,000","25,550.00",195,465.00,466.30,260,225.35,466.35,10.52,"64,757",-945,"4,303",
,"1,60,780","48,687","22,23,583",12.51,9.85,-24.05,"26,325",9.85,9.90,"2,145","25,600.00",195,511.20,512.70,260,237.25,514.30,9.91,"1,19,752","-7,395","19,114",
,"72,360","33,893","11,55,046",12.96,8.40,-17.10,"18,200",8.35,8.40,"19,305","25,650.00",130,560.55,562.25,130,241.65,565.65,12.13,"13,884",-985,"2,764",
,"1,85,732","86,342","16,94,683",13.42,7.20,-11.95,"25,025",7.20,7.25,"44,655","25,700.00",65,607.70,609.55,390,250.80,613.15,-,"32,568","-1,414","20,254",
,"87,840","35,049","8,78,398",13.94,6.30,-8.40,"36,660",6.30,6.35,"22,685","25,750.00",455,657.35,660.15,390,237.85,664.20,10.91,"4,965",-182,"3,087",
,"1,59,122","24,329","13,16,011",14.51,5.60,-5.60,"26,715",5.60,5.65,"33,735","25,800.00",65,706.45,708.80,260,254.50,711.20,-,"14,423","-2,157","23,077",
,"54,063","13,674","7,54,466",15.09,5.10,-3.85,"37,180",5.05,5.10,"41,665","25,850.00",520,756.55,760.35,65,251.65,766.25,11.29,"2,386",-836,"2,507",
,"1,25,636","23,120","9,21,040",15.69,4.65,-2.35,"34,385",4.65,4.70,"65,260","25,900.00",65,805.50,808.40,260,265.35,811.35,-,"5,168","-1,834","11,308",
,"44,593","9,164","4,32,501",16.29,4.25,-1.70,"25,805",4.25,4.30,"27,105","25,950.00",130,854.45,858.65,130,270.70,866.70,17.22,958,-116,"1,792",
,"3,12,234","91,234","12,52,932",16.89,4.00,-1.10,"85,475",4.00,4.05,"57,785","26,000.00",260,905.25,908.10,390,255.60,908.20,-,"20,653","-6,598","57,093",
,"49,247","21,754","3,14,047",17.43,3.75,-0.50,"18,915",3.75,3.80,"48,750","26,050.00",130,952.15,959.55,65,282.60,965.65,14.37,603,-86,"1,307",
,"1,16,430","28,670","6,31,162",18.02,3.50,-0.10,"41,340",3.45,3.50,"23,595","26,100.00",260,"1,004.80","1,009.50",260,269.75,"1,009.10",15.23,"3,203","-1,042","18,128",
,"35,045","12,770","2,79,740",18.63,3.30,0.05,"47,125",3.25,3.30,"11,505","26,150.00",65,"1,050.05","1,057.20",65,286.45,"1,064.35",-,532,-313,"1,517",
,"1,41,393","26,559","6,25,616",19.17,3.05,0.15,"49,985",3.05,3.10,"1,86,615","26,200.00",65,"1,105.00","1,107.05",65,256.75,"1,107.00",16.75,"2,710","-1,298","21,421",
,"43,577","9,459","2,06,997",19.69,2.95,0.30,"2,38,810",2.95,3.00,"1,69,455","26,250.00",65,"1,150.75","1,157.40",65,249.90,"1,158.75",-,546,-188,"2,313",
,"1,23,428","31,991","4,91,273",20.35,2.80,0.50,"2,01,045",2.80,2.85,"2,77,745","26,300.00",130,"1,202.05","1,208.20",130,249.35,"1,210.00",19.78,"2,573","-1,194","12,224",
,"15,819",876,"1,07,706",20.89,2.70,0.55,"1,30,325",2.65,2.70,"33,020","26,350.00",65,"1,249.35","1,258.95",390,267.85,"1,265.85",18.38,200,17,759,
,"79,147","8,433","3,49,515",21.34,2.50,0.65,"2,54,865",2.45,2.50,"4,21,135","26,400.00",65,"1,303.55","1,307.50",65,281.80,"1,310.40",18.77,"1,296",-750,"5,785",
,"12,809","1,394","1,20,455",21.96,2.40,0.55,"88,335",2.35,2.40,"73,580","26,450.00",65,"1,350.40","1,375.70",715,183.05,"1,299.75",-,56,-13,455,
,"1,68,479","5,236","4,86,350",22.51,2.25,0.50,"3,74,140",2.25,2.30,"2,41,540","26,500.00",260,"1,400.05","1,407.25",65,273.70,"1,410.00",-,"4,376",646,"22,644",
,"10,588",275,"60,068",23.11,2.15,0.60,"1,35,135",2.10,2.15,"1,04,455","26,550.00",65,"1,453.75","1,464.65",715,176.25,"1,459.35",-,65,-20,226,
,"45,629","1,375","1,63,328",23.55,2.00,0.55,"1,98,445",1.95,2.00,"2,34,130","26,600.00",65,"1,499.05","1,507.40",65,276.85,"1,509.55",25.30,526,-374,"2,405",
,"9,570",79,"68,467",24.21,1.95,0.55,"1,37,735",1.90,1.95,"83,525","26,650.00",780,"1,516.40","1,581.50",780,-,-,33.84,-,-,143,
,"50,738",823,"1,34,650",24.62,1.80,0.45,"75,205",1.80,1.85,"1,75,825","26,700.00",65,"1,600.45","1,611.60",65,253.60,"1,610.00",30.76,208,-34,794,
,"9,945","3,042","51,460",25.27,1.75,0.45,"1,27,985",1.75,1.80,"98,930","26,750.00",780,"1,605.60","1,682.20",780,-,-,-,-,-,43,
,"49,895","-1,414","1,73,729",25.73,1.65,0.35,"1,82,195",1.65,1.70,"1,94,870","26,800.00",65,"1,700.60","1,708.05",65,258.65,"1,710.75",24.33,"1,560","-1,110","1,790",
,"8,572","2,451","40,045",26.18,1.65,0.35,"71,890",1.60,1.65,"1,01,920","26,850.00",780,"1,720.50","1,787.00",780,-,-,42.26,-,-,21,
,"43,335","11,419","1,23,247",26.71,1.60,0.45,"3,59,645",1.55,1.60,"1,32,665","26,900.00",195,"1,801.15","1,808.45",130,297.00,"1,807.50",-,45,-26,348,
,"5,219","1,086","29,527",27.44,1.60,0.40,"86,905",1.55,1.60,"61,295","26,950.00",65,"1,851.95","1,875.85",65,244.00,"1,859.20",-,3,-,62,
,"1,12,898","6,925","3,24,383",27.85,1.55,0.35,"2,46,675",1.50,1.55,"3,00,040","27,000.00",195,"1,902.75","1,905.50",130,271.80,"1,905.80",-,"3,759","-2,718","10,649",
,"4,321","1,542","28,240",28.58,1.55,0.40,"91,650",1.50,1.55,"22,100","27,050.00",780,"1,922.75","1,988.05",780,-,-,51.16,-,-,7,
,"23,665",-203,"40,668",29.09,1.50,0.45,"1,34,615",1.50,1.55,"1,46,315","27,100.00",65,"2,001.25","2,016.65",65,291.30,"2,001.60",31.65,120,-73,607,
,"3,119",387,"19,742",29.71,1.50,0.40,"49,075",1.50,1.55,"51,285","27,150.00",845,"2,022.20","2,086.55",780,-,-,-,-,-,4,
,"23,959","-14,602","91,247",30.20,1.50,0.50,"1,59,185",1.50,1.55,"2,05,075","27,200.00",65,"2,100.10","2,107.90",260,267.55,"2,109.30",-,76,-35,323,
,"4,122",654,"21,690",30.93,1.50,0.45,"81,120",1.50,1.55,"59,020","27,250.00",780,"2,107.05","2,186.85",780,-,-,-,-,-,6,
,"21,962","-9,205","63,645",31.41,1.50,0.55,"1,73,615",1.45,1.50,"1,10,175","27,300.00",195,"2,197.95","2,217.15",65,84.25,"2,060.00",-,21,-2,122,
,"4,079",736,"28,245",32.01,1.45,0.45,"79,950",1.45,1.50,"47,515","27,350.00",780,"2,211.75","2,287.05",780,-,-,-,-,-,14,
,"14,127","-3,575","53,377",32.74,1.45,0.55,"1,71,990",1.45,1.50,"1,41,700","27,400.00",195,"2,296.75","2,329.20",780,195.40,"2,254.85",-,44,-10,59,
,"2,628",303,"22,079",33.21,1.40,0.40,"66,235",1.40,1.45,"53,105","27,450.00",780,"2,305.15","2,390.70",845,-,-,-,-,-,2,
,"34,139","-16,014","1,00,090",33.54,1.45,0.55,"2,14,500",1.40,1.45,"1,31,625","27,500.00",520,"2,405.00","2,405.65",65,254.95,"2,405.00",35.42,"2,976","-2,103","6,467",
,"2,177",-414,"19,218",34.13,1.35,0.45,"54,860",1.35,1.40,"40,690","27,550.00",780,"2,417.25","2,485.00",845,-,-,-,-,-,2,
,"24,616","3,260","47,209",34.86,1.40,0.35,"2,55,710",1.35,1.40,"1,81,415","27,600.00",65,"2,494.80","2,519.65",130,83.50,"2,363.50",-,9,-6,76,
,"1,564",-486,"16,193",35.30,1.35,0.35,"54,340",1.30,1.35,"36,530","27,650.00",780,"2,496.50","2,590.65",845,-,-,-,-,-,4,
,"15,843","-2,987","57,004",35.74,1.30,0.25,"93,275",1.30,1.35,"1,55,870","27,700.00",65,"2,596.50","2,609.95",65,234.95,"2,613.40",-,75,-36,69,
,"1,662",528,"10,911",36.32,1.25,0.20,"46,800",1.25,1.30,"22,100","27,750.00",65,"2,629.80","2,678.50",65,-,-,-,-,-,3,
,"15,805","-2,518","42,558",36.57,1.20,0.15,"1,40,985",1.15,1.20,"1,42,935","27,800.00",65,"2,690.05","2,706.50",65,249.95,"2,707.30",-,80,-51,277,
,796,290,"5,837",37.15,1.20,0.20,"2,860",1.15,1.20,"1,495","27,850.00",780,"2,717.50","2,784.95",845,-,-,-,-,-,4,
,"17,890","-2,370","39,970",37.37,1.15,0.15,"64,675",1.10,1.15,"56,420","27,900.00",65,"2,798.05","2,804.10",65,244.55,"2,808.55",-,828,-690,"3,617",
,"3,767","1,009","13,343",38.11,1.10,0.10,"61,620",1.05,1.10,"29,315","27,950.00",65,"2,845.25","2,857.40",65,126.65,"2,858.25",33.44,316,-194,541,
,"29,577","5,976","64,296",38.30,1.00,-,"1,22,005",0.95,1.00,"2,13,850","28,000.00",65,"2,903.75","2,906.10",65,268.10,"2,909.40",42.86,"1,205",-712,639,
,"2,762",995,"14,163",38.86,1.05,0.10,"21,060",1.00,1.05,"33,150","28,050.00",780,"2,893.50","2,980.65",65,-,-,-,-,-,4,
,"17,411","3,934","61,533",39.22,0.90,0.10,"1,18,755",0.90,0.95,"1,16,480","28,100.00",65,"2,994.15","3,012.25",65,-40.10,"2,800.00",-,1,-,11,
