,tripid,shipperid,categoryid,customer,shipdate,origincity,originstate,shipdays,destinationcity,destinationstate,deliverydate,totalmiles,loadedmiles,shippingcost,revenue,capacity,triptype,checkpoints,newshipdate,newdeliverydate,month,day,profit,datediff,revenue running totel,cost running totel
271,10272,1,8,Finlux,02-01-2016,Milwaukee,WI,10,Springfield,IL,21-03-2016,951,639,6711,7603,60,International,10,2016-01-02,2016-03-21,1,2,892,79 days,46794,38488
1256,11257,3,6,Scotfase,02-01-2016,Chicago,IL,2,Rockford,IL,04-01-2016,402,268,1419,1748,56,Domestic,9,2016-01-02,2016-01-04,1,2,329,2 days,48542,39907
89,10090,1,4,bluecorporation,02-01-2016,Green Bay,WI,1,Joliet,IL,03-01-2016,919,445,5920,4258,53,Domestic,1,2016-01-02,2016-01-03,1,2,-1662,1 days,52800,45827
1572,11573,2,3,Pluslam,02-01-2016,Northbrook,IL,9,Naperville,IL,21-03-2016,1167,294,8090,8858,76,International,4,2016-01-02,2016-03-21,1,2,768,79 days,61658,53917
1321,11322,2,6,Zunice,02-01-2016,Grand Rapids,MI,1,Toledo,OH,03-01-2016,652,652,318,756,61,Domestic,4,2016-01-02,2016-01-03,1,2,438,1 days,62414,54235
782,10783,1,6,Alphafan,03-01-2016,Madison,WI,2,Kalamazoo,MI,05-01-2016,800,228,4402,4955,61,Intercom,4,2016-01-03,2016-01-05,1,3,553,2 days,67369,58637
18,10019,2,7,hottaxon,03-01-2016,Skokie,IL,2,Chicago,IL,05-01-2016,786,347,3801,4080,54,Domestic,7,2016-01-03,2016-01-05,1,3,279,2 days,71449,62438
831,10832,1,6,Jobtechnology,03-01-2016,Toledo,OH,9,Detriot,MI,12-01-2016,933,390,7526,8015,86,International,5,2016-01-03,2016-01-12,1,3,489,9 days,79464,69964
134,10135,1,5,Cityis,03-01-2016,Rockford,IL,4,Green Bay,WI,07-01-2016,492,492,2190,3072,81,Domestic,10,2016-01-03,2016-01-07,1,3,882,4 days,82536,72154
1509,11510,3,1,Lazap,03-01-2016,Naperville,IL,2,Indianapolis,IN,04-01-2016,719,263,4280,8990,94,Domestic,2,2016-01-03,2016-01-04,1,3,4710,1 days,91526,76434
1201,11202,3,4,hottaxon,03-01-2016,Rockford,IL,6,Green Bay,WI,21-03-2016,224,224,2772,1113,72,International,3,2016-01-03,2016-03-21,1,3,-1659,78 days,92639,79206
701,10702,1,4,Zimjiit,03-01-2016,Cincinnati,OH,1,Gary,IN,04-01-2016,353,305,4545,3118,59,Domestic,7,2016-01-03,2016-01-04,1,3,-1427,1 days,95757,83751
1483,11484,2,4,Reddoit,03-01-2016,Joliet,IL,4,Madison,WI,05-01-2016,803,707,7036,4861,52,Domestic,2,2016-01-03,2016-01-05,1,3,-2175,2 days,100618,90787
1614,11615,2,3,Tantax,03-01-2016,Monon,IN,2,Lansing,MI,05-01-2016,719,655,1584,2007,76,Domestic,9,2016-01-03,2016-01-05,1,3,423,2 days,102625,92371
457,10458,1,8,Fixace,03-01-2016,Naperville,IL,2,Indianapolis,IN,05-01-2016,1180,439,1930,2770,64,Domestic,1,2016-01-03,2016-01-05,1,3,840,2 days,105395,94301
38,10039,1,7,Tamcan,03-01-2016,Skokie,IL,3,Chicago,IL,06-01-2016,948,684,1212,1568,66,Domestic,8,2016-01-03,2016-01-06,1,3,356,3 days,106963,95513
653,10654,2,6,Vaiazozice,03-01-2016,Madison,WI,6,Kalamazoo,MI,09-01-2016,552,266,6595,7202,57,International,10,2016-01-03,2016-01-09,1,3,607,6 days,114165,102108
445,10446,2,8,Faseron,04-01-2016,Kalamazoo,MI,4,Bangor,MI,08-01-2016,1003,302,7392,8099,58,Domestic,6,2016-01-04,2016-01-08,1,4,707,4 days,122264,109500
310,10311,2,6,Baselux,04-01-2016,Skokie,IL,2,Chicago,IL,06-01-2016,442,442,3630,3900,90,Domestic,6,2016-01-04,2016-01-06,1,4,270,2 days,126164,113130
855,10856,1,6,Tempfan,04-01-2016,Toledo,OH,10,Detriot,MI,21-03-2016,342,253,6202,6946,83,International,3,2016-01-04,2016-03-21,1,4,744,77 days,133110,119332
1055,11056,2,1,Daltcare,04-01-2016,Grand Rapids,MI,2,Toledo,OH,06-01-2016,1026,650,7924,12343,74,Domestic,2,2016-01-04,2016-01-06,1,4,4419,2 days,145453,127256
1735,11736,3,6,Howelectrics,04-01-2016,Springfield,IL,1,Skokie,IL,05-01-2016,909,551,595,1218,96,Domestic,8,2016-01-04,2016-01-05,1,4,623,1 days,146671,127851
420,10421,1,6,Zapline,04-01-2016,Bangor,MI,1,Davenport,IA,05-01-2016,1099,690,8256,8689,58,Domestic,1,2016-01-04,2016-01-05,1,4,433,1 days,155360,136107
225,10226,2,5,Donelectrics,04-01-2016,Davenport,IA,4,Appleton,WI,08-01-2016,742,215,4958,5087,58,Domestic,6,2016-01-04,2016-01-08,1,4,129,4 days,160447,141065
884,10885,2,5,Reddoit,04-01-2016,Grand Rapids,MI,4,Toledo,OH,08-01-2016,736,353,1214,2153,97,Domestic,4,2016-01-04,2016-01-08,1,4,939,4 days,162600,142279
1472,11473,3,3,Gogokeying,04-01-2016,Elgin,IL,1,Cincinnati,OH,04-01-2016,936,693,862,1406,98,Domestic,6,2016-01-04,2016-01-04,1,4,544,0 days,164006,143141
765,10766,1,4,Canecare,04-01-2016,Dayton,OH,3,Elgin,IL,07-01-2016,1163,551,6799,4125,93,Domestic,4,2016-01-04,2016-01-07,1,4,-2674,3 days,168131,149940
391,10392,2,7,Strongtechnology,05-01-2016,Rockford,IL,1,Green Bay,WI,06-01-2016,868,335,5294,5574,79,Domestic,10,2016-01-05,2016-01-06,1,5,280,1 days,173705,155234
672,10673,1,5,Singleholdings,05-01-2016,Gary,IN,5,Milwaukee,WI,10-01-2016,1071,546,8603,8817,91,International,6,2016-01-05,2016-01-10,1,5,214,5 days,182522,163837
23,10024,1,4,Stimmedia,05-01-2016,Chicago,IL,2,Rockford,IL,07-01-2016,1004,289,4025,2598,52,Domestic,6,2016-01-05,2016-01-07,1,5,-1427,2 days,185120,167862
1405,11406,3,3,hotity,06-01-2016,Lansing,MI,1,Dayton,OH,07-01-2016,1121,646,7386,7563,67,Intercom,1,2016-01-06,2016-01-07,1,6,177,1 days,192683,175248
1114,11115,3,6,Zunzone,06-01-2016,Toledo,OH,4,Detriot,MI,10-01-2016,509,218,359,1117,82,Domestic,2,2016-01-06,2016-01-10,1,6,758,4 days,193800,175607
699,10700,1,4,Dripvivadex,06-01-2016,Rockford,IL,3,Green Bay,WI,09-01-2016,419,419,6312,4268,93,Domestic,6,2016-01-06,2016-01-09,1,6,-2044,3 days,198068,181919
1041,11042,2,6,Geoit,06-01-2016,Joliet,IL,2,Madison,WI,07-01-2016,721,262,7301,7775,67,Domestic,6,2016-01-06,2016-01-07,1,6,474,1 days,205843,189220
320,10321,2,4,Canemedkix,06-01-2016,Monon,IN,7,Lansing,MI,13-01-2016,352,352,4871,3056,62,International,10,2016-01-06,2016-01-13,1,6,-1815,7 days,208899,194091
965,10966,2,5,Vaiataxon,07-01-2016,Elgin,IL,1,Cincinnati,OH,08-01-2016,546,546,6102,7028,67,Domestic,7,2016-01-07,2016-01-08,1,7,926,1 days,215927,200193
535,10536,2,6,Daltron,08-01-2016,Springfield,IL,4,Skokie,IL,12-01-2016,1153,360,1274,2190,64,Domestic,10,2016-01-08,2016-01-12,1,8,916,4 days,218117,201467
1311,11312,2,6,Lexiplus,08-01-2016,Rockford,IL,10,Green Bay,WI,21-03-2016,323,208,3222,3480,94,International,1,2016-01-08,2016-03-21,1,8,258,73 days,221597,204689
1216,11217,2,3,Cannamcon,08-01-2016,Indianapolis,IN,4,Northbrook,IL,09-01-2016,838,422,229,1033,52,Domestic,1,2016-01-08,2016-01-09,1,8,804,1 days,222630,204918
1028,11029,2,3,stripzim,08-01-2016,Dayton,OH,2,Elgin,IL,10-01-2016,822,669,6135,6669,71,Domestic,1,2016-01-08,2016-01-10,1,8,534,2 days,229299,211053
1431,11432,3,1,dan-high,08-01-2016,Grand Rapids,MI,4,Toledo,OH,12-01-2016,505,346,518,5502,95,Domestic,10,2016-01-08,2016-01-12,1,8,4984,4 days,234801,211571
1439,11440,2,6,Dongbase,08-01-2016,Monon,IN,7,Lansing,MI,21-03-2016,590,498,4901,5051,62,International,3,2016-01-08,2016-03-21,1,8,150,73 days,239852,216472
1799,11800,2,6,Ganjazone,08-01-2016,Elgin,IL,3,Cincinnati,OH,09-01-2016,1135,518,431,872,66,Domestic,8,2016-01-08,2016-01-09,1,8,441,1 days,240724,216903
1760,11761,2,1,Redozetam,08-01-2016,Chicago,IL,1,Rockford,IL,09-01-2016,735,458,4412,8998,85,Domestic,4,2016-01-08,2016-01-09,1,8,4586,1 days,249722,221315
1501,11502,3,4,Ganjazone,08-01-2016,Indianapolis,IN,2,Northbrook,IL,08-01-2016,595,585,6342,4315,83,Domestic,4,2016-01-08,2016-01-08,1,8,-2027,0 days,254037,227657
1416,11417,3,3,O-ace,08-01-2016,Gary,IN,1,Milwaukee,WI,09-01-2016,886,203,25,847,54,Domestic,5,2016-01-08,2016-01-09,1,8,822,1 days,254884,227682
1778,11779,2,5,Funfintech,09-01-2016,Kalamazoo,MI,1,Bangor,MI,10-01-2016,941,290,2450,2877,78,Domestic,8,2016-01-09,2016-01-10,1,9,427,1 days,257761,230132
1290,11291,2,5,Whitekix,09-01-2016,Dayton,OH,9,Elgin,IL,18-01-2016,866,200,769,1756,61,International,5,2016-01-09,2016-01-18,1,9,987,9 days,259517,230901
814,10815,2,7,Linezatlam,09-01-2016,Kalamazoo,MI,6,Bangor,MI,15-01-2016,1153,673,6089,6622,51,International,2,2016-01-09,2016-01-15,1,9,533,6 days,266139,236990
611,10612,2,6,Dingity,09-01-2016,Appleton,WI,3,Grand Rapids,MI,12-01-2016,1057,534,51,1038,65,Domestic,6,2016-01-09,2016-01-12,1,9,987,3 days,267177,237041
984,10985,3,6,roundphase,09-01-2016,Dayton,OH,4,Elgin,IL,13-01-2016,866,474,8231,8658,75,Domestic,1,2016-01-09,2016-01-13,1,9,427,4 days,275835,245272
9,10010,1,7,Dentocity,10-01-2016,Madison,WI,5,Kalamazoo,MI,15-01-2016,732,248,3718,3916,63,International,10,2016-01-10,2016-01-15,1,10,198,5 days,279751,248990
896,10897,2,3,Subdrill,10-01-2016,Rockford,IL,4,Green Bay,WI,14-01-2016,954,515,5908,6900,54,Domestic,4,2016-01-10,2016-01-14,1,10,992,4 days,286651,254898
120,10121,1,6,Lexiplus,10-01-2016,Skokie,IL,4,Chicago,IL,14-01-2016,1085,716,7184,7901,73,Domestic,10,2016-01-10,2016-01-14,1,10,717,4 days,294552,262082
467,10468,2,5,Goldenlex,10-01-2016,Davenport,IA,1,Appleton,WI,11-01-2016,675,675,2677,3669,77,Domestic,8,2016-01-10,2016-01-11,1,10,992,1 days,298221,264759
496,10497,1,6,Runhigh,10-01-2016,Joliet,IL,2,Madison,WI,11-01-2016,980,303,2430,2818,94,Domestic,3,2016-01-10,2016-01-11,1,10,388,1 days,301039,267189
1001,11002,3,4,Solostreet,10-01-2016,Naperville,IL,2,Indianapolis,IN,12-01-2016,463,202,2362,478,76,Domestic,10,2016-01-10,2016-01-12,1,10,-1884,2 days,301517,269551
704,10705,2,4,Canetechnology,10-01-2016,Lansing,MI,2,Dayton,OH,12-01-2016,1196,410,8138,6536,89,Domestic,8,2016-01-10,2016-01-12,1,10,-1602,2 days,308053,277689
410,10411,2,7,Silverace,10-01-2016,Monon,IN,3,Lansing,MI,13-01-2016,326,326,3808,4093,80,Domestic,6,2016-01-10,2016-01-13,1,10,285,3 days,312146,281497
119,10120,1,6,Ronplanet,10-01-2016,Elgin,IL,2,Cincinnati,OH,11-01-2016,294,294,5431,5627,80,Domestic,4,2016-01-10,2016-01-11,1,10,196,1 days,317773,286928
294,10295,2,6,Indi-dox,10-01-2016,Chicago,IL,8,Rockford,IL,16-01-2016,482,217,3007,3735,85,International,9,2016-01-10,2016-01-16,1,10,728,6 days,321508,289935
764,10765,2,6,Goldenlex,11-01-2016,Cincinnati,OH,2,Gary,IN,13-01-2016,1068,270,6669,7194,85,Domestic,3,2016-01-11,2016-01-13,1,11,525,2 days,328702,296604
411,10412,1,5,Conelane,11-01-2016,Madison,WI,4,Kalamazoo,MI,15-01-2016,225,225,128,868,81,Domestic,7,2016-01-11,2016-01-15,1,11,740,4 days,329570,296732
544,10545,1,8,Silver-line,11-01-2016,Cincinnati,OH,3,Gary,IN,14-01-2016,1054,353,6526,6895,61,Domestic,1,2016-01-11,2016-01-14,1,11,369,3 days,336465,303258
708,10709,1,7,apzone,12-01-2016,Kalamazoo,MI,7,Bangor,MI,19-01-2016,319,319,1570,2508,61,International,10,2016-01-12,2016-01-19,1,12,938,7 days,338973,304828
624,10625,1,4,Xx-dotone,12-01-2016,Indianapolis,IN,4,Northbrook,IL,15-01-2016,347,347,6215,4341,78,Domestic,2,2016-01-12,2016-01-15,1,12,-1874,3 days,343314,311043
70,10071,2,8,Zimity,12-01-2016,Appleton,WI,4,Grand Rapids,MI,16-01-2016,701,668,2102,2846,67,Domestic,1,2016-01-12,2016-01-16,1,12,744,4 days,346160,313145
358,10359,1,6,Newzap,12-01-2016,Indianapolis,IN,5,Northbrook,IL,17-01-2016,346,346,1347,2119,79,International,6,2016-01-12,2016-01-17,1,12,772,5 days,348279,314492
157,10158,2,5,Lexidom,12-01-2016,Appleton,WI,1,Grand Rapids,MI,13-01-2016,653,207,6603,7192,75,Domestic,8,2016-01-12,2016-01-13,1,12,589,1 days,355471,321095
761,10762,1,8,Dongtinlux,12-01-2016,Naperville,IL,7,Indianapolis,IN,19-01-2016,842,455,5741,6617,61,International,4,2016-01-12,2016-01-19,1,12,876,7 days,362088,326836
573,10574,2,5,tinron,13-01-2016,Skokie,IL,2,Chicago,IL,15-01-2016,670,487,6338,7289,58,Domestic,6,2016-01-13,2016-01-15,1,13,951,2 days,369377,333174
853,10854,1,2,Canex,13-01-2016,Cincinnati,OH,10,Gary,IN,23-01-2016,581,581,1295,2006,51,International,9,2016-01-13,2016-01-23,1,13,711,10 days,371383,334469
1517,11518,2,6,Cannamcon,13-01-2016,Elgin,IL,3,Cincinnati,OH,16-01-2016,1055,582,1074,1576,95,Domestic,10,2016-01-13,2016-01-16,1,13,502,3 days,372959,335543
342,10343,2,5,Goldenbam,13-01-2016,Monon,IN,8,Lansing,MI,21-03-2016,944,702,1383,1968,77,International,4,2016-01-13,2016-03-21,1,13,585,68 days,374927,336926
1762,11763,3,3,zen-holdings,13-01-2016,Northbrook,IL,7,Naperville,IL,20-01-2016,490,251,8850,8977,60,International,9,2016-01-13,2016-01-20,1,13,127,7 days,383904,345776
829,10830,2,6,Siliconcore,13-01-2016,Cincinnati,OH,4,Gary,IN,17-01-2016,794,453,4939,5773,51,Domestic,8,2016-01-13,2016-01-17,1,13,834,4 days,389677,350715
1598,11599,3,1,Trustcorporation,13-01-2016,Appleton,WI,3,Grand Rapids,MI,16-01-2016,202,202,2830,6860,96,Domestic,2,2016-01-13,2016-01-16,1,13,4030,3 days,396537,353545
1334,11335,3,6,Quadplanet,13-01-2016,Cincinnati,OH,9,Gary,IN,21-01-2016,333,333,8196,8694,96,International,2,2016-01-13,2016-01-21,1,13,498,8 days,405231,361741
99,10100,1,5,Strongtechnology,14-01-2016,Skokie,IL,4,Chicago,IL,18-01-2016,362,362,3690,4608,99,Domestic,2,2016-01-14,2016-01-18,1,14,918,4 days,409839,365431
1083,11084,3,2,Zoomhex,14-01-2016,Gary,IN,3,Milwaukee,WI,17-01-2016,860,734,1905,2599,93,Domestic,8,2016-01-14,2016-01-17,1,14,694,3 days,412438,367336
122,10123,2,8,Quotefix,14-01-2016,Davenport,IA,2,Appleton,WI,16-01-2016,1192,730,1928,2138,97,Domestic,10,2016-01-14,2016-01-16,1,14,210,2 days,414576,369264
393,10394,1,4,Donplanet,14-01-2016,Cincinnati,OH,2,Gary,IN,16-01-2016,895,739,1890,623,88,Domestic,8,2016-01-14,2016-01-16,1,14,-1267,2 days,415199,371154
370,10371,1,8,Gravetech,15-01-2016,Dayton,OH,2,Elgin,IL,17-01-2016,676,223,295,515,78,Domestic,6,2016-01-15,2016-01-17,1,15,220,2 days,415714,371449
660,10661,2,5,Dontam,15-01-2016,Lansing,MI,6,Dayton,OH,20-01-2016,513,435,8053,8593,66,International,9,2016-01-15,2016-01-20,1,15,540,5 days,424307,379502
1803,11804,3,2,zotit,15-01-2016,Milwaukee,WI,6,Springfield,IL,21-03-2016,364,364,5284,5784,88,International,5,2016-01-15,2016-03-21,1,15,500,66 days,430091,384786
1521,11522,2,1,Zoncone,15-01-2016,Grand Rapids,MI,2,Toledo,OH,16-01-2016,330,330,7992,12494,68,Domestic,5,2016-01-15,2016-01-16,1,15,4502,1 days,442585,392778
1410,11411,3,3,acequote,15-01-2016,Grand Rapids,MI,2,Toledo,OH,16-01-2016,338,338,3162,3345,76,Domestic,10,2016-01-15,2016-01-16,1,15,183,1 days,445930,395940
1763,11764,3,2,Warebam,15-01-2016,Detriot,MI,9,Monon,IN,24-01-2016,376,376,7800,8382,66,International,8,2016-01-15,2016-01-24,1,15,582,9 days,454312,403740
1507,11508,3,2,scotquote,16-01-2016,Madison,WI,3,Kalamazoo,MI,19-01-2016,1006,459,3428,4295,84,Domestic,7,2016-01-16,2016-01-19,1,16,867,3 days,458607,407168
1014,11015,3,1,Solohex,16-01-2016,Springfield,IL,9,Skokie,IL,25-01-2016,778,614,3562,7865,72,International,5,2016-01-16,2016-01-25,1,16,4303,9 days,466472,410730
882,10883,2,6,Funfintech,16-01-2016,Kalamazoo,MI,1,Bangor,MI,17-01-2016,755,397,5933,6638,54,Domestic,9,2016-01-16,2016-01-17,1,16,705,1 days,473110,416663
505,10506,1,4,hotity,16-01-2016,Lansing,MI,9,Dayton,OH,25-01-2016,1032,409,5465,3481,90,International,9,2016-01-16,2016-01-25,1,16,-1984,9 days,476591,422128
1615,11616,2,6,Solohex,16-01-2016,Madison,WI,2,Kalamazoo,MI,18-01-2016,319,319,1234,2045,65,Domestic,7,2016-01-16,2016-01-18,1,16,811,2 days,478636,423362
170,10171,2,5,Mediaware,16-01-2016,Detriot,MI,9,Monon,IN,24-01-2016,530,530,4071,4550,87,International,7,2016-01-16,2016-01-24,1,16,479,8 days,483186,427433
261,10262,2,5,Itcantrans,16-01-2016,Cincinnati,OH,2,Gary,IN,18-01-2016,890,569,4835,5208,68,Domestic,7,2016-01-16,2016-01-18,1,16,373,2 days,488394,432268
475,10476,2,7,Indigoice,17-01-2016,Gary,IN,3,Milwaukee,WI,20-01-2016,567,404,113,418,90,Domestic,3,2016-01-17,2016-01-20,1,17,305,3 days,488812,432381
1704,11705,3,2,acequote,17-01-2016,Dayton,OH,4,Elgin,IL,18-01-2016,972,551,5565,5996,86,Domestic,5,2016-01-17,2016-01-18,1,17,431,1 days,494808,437946
1629,11630,2,5,Dingquokix,17-01-2016,Milwaukee,WI,4,Springfield,IL,21-01-2016,568,420,401,1235,63,Domestic,3,2016-01-17,2016-01-21,1,17,834,4 days,496043,438347
1520,11521,3,6,applanet,17-01-2016,Davenport,IA,6,Appleton,WI,22-01-2016,482,366,4671,5445,55,International,7,2016-01-17,2016-01-22,1,17,774,5 days,501488,443018
642,10643,2,7,Tamholding,17-01-2016,Davenport,IA,8,Appleton,WI,24-01-2016,970,497,7742,8687,63,International,5,2016-01-17,2016-01-24,1,17,945,7 days,510175,450760
339,10340,1,7,Mathing,18-01-2016,Detriot,MI,9,Monon,IN,27-01-2016,754,754,6150,6476,68,International,8,2016-01-18,2016-01-27,1,18,326,9 days,516651,456910
1562,11563,2,5,Scotfase,18-01-2016,Bangor,MI,3,Davenport,IA,21-01-2016,398,398,7382,8187,86,Domestic,8,2016-01-18,2016-01-21,1,18,805,3 days,524838,464292
316,10317,1,5,Solholdings,18-01-2016,Chicago,IL,2,Rockford,IL,20-01-2016,874,548,1677,1943,83,Domestic,1,2016-01-18,2016-01-20,1,18,266,2 days,526781,465969
174,10175,2,5,Ganzsannix,18-01-2016,Green Bay,WI,4,Joliet,IL,22-01-2016,813,241,4154,4927,80,Domestic,5,2016-01-18,2016-01-22,1,18,773,4 days,531708,470123
1423,11424,2,3,Icedox,19-01-2016,Dayton,OH,1,Elgin,IL,20-01-2016,346,346,3263,3512,98,Domestic,6,2016-01-19,2016-01-20,1,19,249,1 days,535220,473386
1103,11104,2,1,Technodax,19-01-2016,Northbrook,IL,10,Naperville,IL,29-01-2016,1130,788,3677,7917,99,International,6,2016-01-19,2016-01-29,1,19,4240,10 days,543137,477063
257,10258,1,6,citydexon,19-01-2016,Green Bay,WI,6,Joliet,IL,22-01-2016,1145,583,7890,8331,68,International,2,2016-01-19,2016-01-22,1,19,441,3 days,551468,484953
1090,11091,3,2,Inchholdings,19-01-2016,Cincinnati,OH,4,Gary,IN,23-01-2016,1155,455,6654,7506,77,Domestic,4,2016-01-19,2016-01-23,1,19,852,4 days,558974,491607
705,10706,2,6,Zotcare,19-01-2016,Bangor,MI,2,Davenport,IA,21-01-2016,1035,220,392,742,86,Domestic,10,2016-01-19,2016-01-21,1,19,350,2 days,559716,491999
837,10838,1,4,Triootity,19-01-2016,Davenport,IA,1,Appleton,WI,20-01-2016,1130,636,5040,3126,51,Domestic,6,2016-01-19,2016-01-20,1,19,-1914,1 days,562842,497039
1721,11722,3,6,Donremlane,19-01-2016,Green Bay,WI,3,Joliet,IL,22-01-2016,560,560,7332,8272,81,Domestic,10,2016-01-19,2016-01-22,1,19,940,3 days,571114,504371
1075,11076,2,1,Gravemedia,19-01-2016,Davenport,IA,9,Appleton,WI,26-01-2016,448,448,5012,9455,98,International,5,2016-01-19,2016-01-26,1,19,4443,7 days,580569,509383
647,10648,1,6,Zoodrill,20-01-2016,Indianapolis,IN,4,Northbrook,IL,24-01-2016,1143,591,6993,7568,67,Domestic,3,2016-01-20,2016-01-24,1,20,575,4 days,588137,516376
1155,11156,3,1,saltlab,20-01-2016,Rockford,IL,2,Green Bay,WI,22-01-2016,774,217,4269,8935,85,Domestic,2,2016-01-20,2016-01-22,1,20,4666,2 days,597072,520645
1132,11133,3,5,Danfan,20-01-2016,Naperville,IL,4,Indianapolis,IN,23-01-2016,360,212,1749,2438,63,Domestic,6,2016-01-20,2016-01-23,1,20,689,3 days,599510,522394
265,10266,1,7,Redozetam,20-01-2016,Bangor,MI,1,Davenport,IA,21-01-2016,585,251,5588,6279,56,Domestic,1,2016-01-20,2016-01-21,1,20,691,1 days,605789,527982
235,10236,2,6,Daltron,21-01-2016,Madison,WI,2,Kalamazoo,MI,23-01-2016,404,404,8216,8605,97,Intercom,7,2016-01-21,2016-01-23,1,21,389,2 days,614394,536198
306,10307,2,8,Villacom,21-01-2016,Dayton,OH,6,Elgin,IL,27-01-2016,742,698,4823,5181,86,International,3,2016-01-21,2016-01-27,1,21,358,6 days,619575,541021
45,10046,1,4,dripkix,21-01-2016,Northbrook,IL,5,Naperville,IL,21-03-2016,1008,778,5397,3284,71,International,4,2016-01-21,2016-03-21,1,21,-2113,60 days,622859,546418
507,10508,2,4,Striplane,21-01-2016,Elgin,IL,9,Cincinnati,OH,30-01-2016,1165,437,3166,1238,71,International,10,2016-01-21,2016-01-30,1,21,-1928,9 days,624097,549584
1672,11673,2,5,Fixcan,21-01-2016,Springfield,IL,9,Skokie,IL,30-01-2016,721,457,7770,8533,95,International,7,2016-01-21,2016-01-30,1,21,763,9 days,632630,557354
1168,11169,3,1,Zamlane,22-01-2016,Springfield,IL,8,Skokie,IL,28-01-2016,737,211,262,5340,56,International,5,2016-01-22,2016-01-28,1,22,5078,6 days,637970,557616
292,10293,1,8,san-plex,22-01-2016,Milwaukee,WI,4,Springfield,IL,26-01-2016,805,594,6423,7059,79,Domestic,5,2016-01-22,2016-01-26,1,22,636,4 days,645029,564039
1428,11429,3,5,Streetlam,22-01-2016,Skokie,IL,4,Chicago,IL,26-01-2016,316,316,3973,4959,68,Domestic,7,2016-01-22,2016-01-26,1,22,986,4 days,649988,568012
1052,11053,3,5,tres-tone,22-01-2016,Skokie,IL,10,Chicago,IL,21-03-2016,975,414,6217,6748,94,International,1,2016-01-22,2016-03-21,1,22,531,59 days,656736,574229
935,10936,2,4,xx-bam,22-01-2016,Gary,IN,10,Milwaukee,WI,29-01-2016,1037,352,2456,604,55,International,9,2016-01-22,2016-01-29,1,22,-1852,7 days,657340,576685
476,10477,2,8,Zotfan,23-01-2016,Joliet,IL,2,Madison,WI,25-01-2016,571,361,5270,5537,87,Domestic,6,2016-01-23,2016-01-25,1,23,267,2 days,662877,581955
435,10436,1,5,Y-flex,23-01-2016,Green Bay,WI,9,Joliet,IL,01-02-2016,266,266,6255,6656,88,International,5,2016-01-23,2016-02-01,1,23,401,9 days,669533,588210
234,10235,1,7,Jobtechnology,23-01-2016,Monon,IN,10,Lansing,MI,21-03-2016,302,302,679,814,70,International,1,2016-01-23,2016-03-21,1,23,135,58 days,670347,588889
429,10430,1,5,Cityis,23-01-2016,Northbrook,IL,1,Naperville,IL,24-01-2016,528,409,5942,6779,83,Domestic,4,2016-01-23,2016-01-24,1,23,837,1 days,677126,594831
49,10050,2,5,Zuntexon,23-01-2016,Madison,WI,10,Kalamazoo,MI,01-02-2016,254,254,3221,3441,71,International,10,2016-01-23,2016-02-01,1,23,220,9 days,680567,598052
1088,11089,2,1,Golddexon,23-01-2016,Rockford,IL,7,Green Bay,WI,21-03-2016,375,375,2617,8076,60,International,2,2016-01-23,2016-03-21,1,23,5459,58 days,688643,600669
