TripID,ShipperID,CategoryID,Customer,ShipDate,OriginCity,OriginState,ShipDays,DestinationCity,DestinationState,TotalMiles,LoadedMiles,ShippingCost,Revenue,Capacity,TripType,CheckPoints
10019,2,7,Hottaxon,2016-01-03,Skokie,IL,2,Chicago,IL,786,347,3801,4080,54,Domestic,7
10020,2,6,Keyzunbase,2016-04-27,Kalamazoo,MI,1,Bangor,MI,1141,503,4886,5180,72,Domestic,9
10021,2,6,K-Is,2016-07-07,Davenport,IA,2,Appleton,WI,874,325,539,1226,82,Domestic,9
10022,2,6,Zotit,2016-04-04,Milwaukee,WI,2,Springfield,IL,1068,267,88,911,73,Domestic,7
10023,2,8,Scotquote,2016-03-12,Springfield,IL,2,Skokie,IL,680,303,1417,1663,85,Domestic,7
10024,1,4,Stimmedia,2016-01-05,Chicago,IL,2,Rockford,IL,1004,289,4025,2598,52,Domestic,6
10025,1,8,Lazap,2016-03-19,Indianapolis,IN,4,Northbrook,IL,1094,258,8546,8824,86,Domestic,5
10026,2,6,Baselux,2016-02-28,Northbrook,IL,10,Naperville,IL,875,247,1780,2445,70,International,8
10027,1,5,Dingity,2016-06-06,Detriot,MI,7,Monon,IN,694,243,5139,6100,68,International,10
10028,2,8,Planethouse,2016-07-23,Monon,IN,9,Lansing,MI,1012,641,8065,8603,81,International,2
10029,2,5,Overtam,2016-06-07,Madison,WI,1,Kalamazoo,MI,1123,733,7614,8038,79,Intercom,2
10030,2,5,Solholdings,2016-07-28,Green Bay,WI,1,Joliet,IL,751,751,7247,7877,55,Domestic,5
10031,2,7,Cannamcon,2016-01-31,Naperville,IL,2,Indianapolis,IN,508,321,3102,3655,54,Domestic,2
10032,2,6,Zerfax,2016-07-17,Rockford,IL,2,Green Bay,WI,1102,446,4355,4911,79,Domestic,8
10033,1,7,Technoline,2016-04-13,Appleton,WI,7,Grand Rapids,MI,435,435,1762,2342,89,International,2
10034,1,5,Applanet,2016-04-09,Cincinnati,OH,7,Gary,IN,220,220,4984,5421,71,International,5
10035,2,5,Zoncone,2016-02-06,Dayton,OH,3,Elgin,IL,463,307,7272,8119,99,Domestic,5
10036,2,8,Canemedkix,2016-01-29,Toledo,OH,4,Detriot,MI,455,455,938,1747,89,Domestic,1
10037,2,7,Strongdax,2016-04-20,Bangor,MI,3,Davenport,IA,726,348,919,1084,85,Domestic,6
10038,2,5,Xx-Dotone,2016-03-09,Elgin,IL,3,Cincinnati,OH,1047,398,6309,6723,88,Domestic,9
10039,1,7,Tamcan,2016-01-03,Skokie,IL,3,Chicago,IL,948,684,1212,1568,66,Domestic,8
10040,1,8,Sanin,2016-06-23,Kalamazoo,MI,2,Bangor,MI,363,363,7941,8874,78,Domestic,1
10041,2,5,Groovestrip,2016-02-01,Grand Rapids,MI,2,Toledo,OH,331,331,6801,7218,83,Domestic,1
10042,1,5,Matdex,2016-07-27,Milwaukee,WI,10,Springfield,IL,219,219,802,1184,59,International,7
10043,2,4,Saohow,2016-04-02,Springfield,IL,7,Skokie,IL,1187,742,6043,4255,52,International,2
10044,2,5,Yearlex,2016-08-27,Chicago,IL,9,Rockford,IL,1166,250,2857,3320,54,International,5
10045,2,6,Bamtechnology,2016-07-04,Indianapolis,IN,8,Northbrook,IL,1170,729,7183,7517,78,International,2
10046,1,4,Dripkix,2016-01-21,Northbrook,IL,5,Naperville,IL,1008,778,5397,3284,71,International,4
10047,2,6,Instrip,2016-02-22,Detriot,MI,1,Monon,IN,812,535,3551,4147,94,Intercom,5
10048,2,5,Xx-Bam,2016-05-02,Gary,IN,4,Milwaukee,WI,609,609,5290,6278,61,Domestic,9
10049,2,6,Zaamhouse,2016-03-27,Joliet,IL,1,Madison,WI,1007,288,2352,3042,80,Domestic,2
10050,2,5,Zuntexon,2016-01-23,Madison,WI,10,Kalamazoo,MI,254,254,3221,3441,71,International,10
10051,2,7,Howplanet,2016-02-29,Green Bay,WI,9,Joliet,IL,1130,462,6108,6863,89,International,8
10052,2,5,Fasezim,2016-03-02,Naperville,IL,2,Indianapolis,IN,832,458,6187,6513,58,Domestic,1
10053,1,6,Sanlab,2016-08-11,Rockford,IL,3,Green Bay,WI,737,349,777,979,66,Domestic,2
10054,2,8,Tamholding,2016-08-23,Cincinnati,OH,4,Gary,IN,986,264,6554,7325,90,Domestic,7
10055,1,4,Greentech,2016-05-06,Dayton,OH,3,Elgin,IL,952,256,7540,5295,74,Domestic,4
10056,2,6,Goldenbam,2016-07-24,Toledo,OH,4,Detriot,MI,336,336,559,1143,64,Domestic,9
10057,2,7,Silfase,2016-04-11,Lansing,MI,4,Dayton,OH,1002,735,6107,6447,62,Domestic,10
10058,1,6,Unoex,2016-05-06,Bangor,MI,4,Davenport,IA,705,522,3456,3744,51,Domestic,4
10059,2,7,Zoodrill,2016-05-07,Elgin,IL,2,Cincinnati,OH,552,552,3790,4454,96,Domestic,6
10060,2,5,Anmedia,2016-05-16,Kalamazoo,MI,8,Bangor,MI,1044,564,424,958,50,International,6
10061,2,5,Daltfax,2016-05-16,Davenport,IA,5,Appleton,WI,377,377,1306,1702,94,International,2
10062,1,4,Physcone,2016-03-22,Grand Rapids,MI,9,Toledo,OH,563,563,5547,3321,65,International,1
10063,2,4,Kincorporation,2016-01-28,Milwaukee,WI,7,Springfield,IL,239,239,2315,581,58,International,6
10064,2,6,Plusla,2016-08-31,Chicago,IL,4,Rockford,IL,419,419,337,1053,86,Domestic,10
10065,1,8,Nimlab,2016-08-29,Indianapolis,IN,3,Northbrook,IL,1172,737,6569,7298,99,Domestic,8
10066,2,7,Blueit,2016-05-08,Detriot,MI,6,Monon,IN,970,414,6036,6301,55,International,1
10067,2,5,Roundphase,2016-02-26,Gary,IN,6,Milwaukee,WI,695,617,3590,4495,73,International,1
10068,1,5,Faseway,2016-03-19,Joliet,IL,4,Madison,WI,222,222,7465,7721,99,Domestic,6
10069,1,6,Tripplekix,2016-03-30,Monon,IN,2,Lansing,MI,815,627,982,1798,99,Domestic,1
10070,2,5,Dontam,2016-02-26,Madison,WI,1,Kalamazoo,MI,1182,637,7817,8576,89,Domestic,6
10071,2,8,Zimity,2016-01-12,Appleton,WI,4,Grand Rapids,MI,701,668,2102,2846,67,Domestic,1
10072,1,8,Dongbiolex,2016-02-05,Cincinnati,OH,2,Gary,IN,477,477,6643,7155,79,Domestic,1
10073,1,6,Geofind,2016-02-06,Toledo,OH,5,Detriot,MI,627,381,7974,8470,69,International,9
10074,2,6,Iceelectrics,2016-03-27,Lansing,MI,9,Dayton,OH,248,248,17,133,62,International,6
10075,1,7,Vaiazoom,2016-03-25,Bangor,MI,7,Davenport,IA,400,400,6941,7103,74,International,2
10076,1,7,Vaiataxon,2016-03-11,Elgin,IL,5,Cincinnati,OH,443,443,3836,4534,92,International,4
10077,1,5,Pluslam,2016-08-29,Skokie,IL,9,Chicago,IL,771,601,1954,2742,87,International,8
10078,1,5,Singleholdings,2016-06-17,Davenport,IA,4,Appleton,WI,858,677,7105,7478,70,Domestic,6
10079,1,5,Gravetech,2016-05-07,Grand Rapids,MI,1,Toledo,OH,469,264,6183,6330,75,Domestic,9
10080,1,7,Strongcane,2016-06-01,Milwaukee,WI,1,Springfield,IL,834,570,6718,7087,81,Domestic,4
10081,1,4,Condintex,2016-05-01,Springfield,IL,5,Skokie,IL,477,287,5134,2429,66,International,8
10082,2,5,Xx-Canex,2016-06-01,Chicago,IL,6,Rockford,IL,649,649,7969,8439,88,International,3
10083,1,4,Itdom,2016-08-14,Indianapolis,IN,4,Northbrook,IL,740,684,7126,4937,57,Domestic,9
10084,1,4,Zamholdings,2016-02-10,Northbrook,IL,3,Naperville,IL,1077,361,4421,2824,63,Domestic,3
10085,2,7,Duo-Fase,2016-06-22,Detriot,MI,1,Monon,IN,818,705,7012,7890,89,Domestic,8
10086,1,7,Saozoomtex,2016-08-31,Gary,IN,1,Milwaukee,WI,1050,548,6381,7088,67,Domestic,8
10087,1,7,Funlax,2016-03-11,Joliet,IL,2,Madison,WI,965,659,8235,8684,54,Domestic,7
10088,1,8,Beta-Ron,2016-07-02,Monon,IN,3,Lansing,MI,1096,455,4658,5505,59,Domestic,6
10089,1,8,Zentrax,2016-08-17,Madison,WI,2,Kalamazoo,MI,448,231,6069,6291,73,Domestic,9
10090,1,4,Bluecorporation,2016-01-02,Green Bay,WI,1,Joliet,IL,919,445,5920,4258,53,Domestic,1
10091,2,7,Fin-Cone,2016-03-06,Naperville,IL,4,Indianapolis,IN,669,332,2235,2655,85,Domestic,5
10092,2,6,Ranmedia,2016-08-15,Rockford,IL,6,Green Bay,WI,695,695,2626,2858,93,International,4
10093,1,7,Trueplus,2016-02-04,Appleton,WI,5,Grand Rapids,MI,607,525,2872,3445,77,International,2
10094,1,5,Templax,2016-05-15,Cincinnati,OH,8,Gary,IN,610,600,1255,1647,50,International,5
10095,1,4,Roundphase,2016-01-23,Dayton,OH,9,Elgin,IL,1170,444,4594,3406,61,International,10
10096,1,7,Medialax,2016-08-25,Toledo,OH,8,Detriot,MI,782,563,3742,4572,66,International,5
10097,2,5,Ronlamice,2016-06-09,Lansing,MI,1,Dayton,OH,293,293,6384,6606,54,Intercom,1
10098,2,5,Zummatexon,2016-06-27,Bangor,MI,2,Davenport,IA,335,204,6827,7676,79,Domestic,4
10099,1,4,Aptaxon,2016-07-09,Elgin,IL,3,Cincinnati,OH,425,425,4752,3175,53,Domestic,6
10100,1,5,Strongtechnology,2016-01-14,Skokie,IL,4,Chicago,IL,362,362,3690,4608,99,Domestic,2
10101,1,6,Plextechi,2016-06-09,Kalamazoo,MI,5,Bangor,MI,861,731,8088,8367,95,International,1
10102,1,5,Donplanet,2016-03-06,Davenport,IA,7,Appleton,WI,988,333,306,917,80,International,2
10103,2,7,Whitekix,2016-04-19,Grand Rapids,MI,4,Toledo,OH,981,619,3440,4129,89,Domestic,8
10104,2,6,Streetplus,2016-01-25,Milwaukee,WI,1,Springfield,IL,787,539,976,1431,86,Domestic,7
10105,2,7,K-Antex,2016-08-16,Springfield,IL,1,Skokie,IL,961,369,104,886,93,Domestic,9
10106,1,7,Constreet,2016-04-27,Chicago,IL,1,Rockford,IL,1188,325,5105,5460,86,Domestic,3
10107,2,5,Quotefix,2016-06-13,Indianapolis,IN,4,Northbrook,IL,830,265,1536,1894,82,Domestic,6
10108,2,7,Trustcorporation,2016-08-11,Detriot,MI,3,Monon,IN,849,439,7701,8358,97,Domestic,6
10109,2,8,Scotcan,2016-03-18,Joliet,IL,3,Madison,WI,587,367,521,910,83,Domestic,2
10110,2,7,Duoflex,2016-08-23,Monon,IN,10,Lansing,MI,201,201,2117,3047,70,International,8
10111,1,6,Canetechnology,2016-08-18,Madison,WI,5,Kalamazoo,MI,263,240,2678,3012,78,International,1
10112,1,4,Solostreet,2016-05-24,Naperville,IL,7,Indianapolis,IN,322,322,2472,612,63,International,7
10113,1,4,Xx-Planet,2016-06-20,Rockford,IL,10,Green Bay,WI,360,316,2687,776,94,International,1
10114,1,8,Apzone,2016-08-30,Appleton,WI,2,Grand Rapids,MI,378,378,7332,7485,78,Intercom,5
10115,2,6,Donglax,2016-05-12,Cincinnati,OH,1,Gary,IN,1135,227,4738,5382,61,Domestic,10
10116,2,4,Jaylane,2016-05-17,Dayton,OH,2,Elgin,IL,1085,635,8143,5905,77,Domestic,8
10117,1,6,Silverace,2016-03-05,Toledo,OH,2,Detriot,MI,559,216,7038,7844,97,Domestic,1
10118,2,6,Conelane,2016-03-19,Lansing,MI,8,Dayton,OH,284,284,2208,3010,60,International,5
10119,2,7,Matsanice,2016-05-08,Bangor,MI,10,Davenport,IA,411,290,6017,6119,100,International,1
10120,1,6,Ronplanet,2016-01-10,Elgin,IL,2,Cincinnati,OH,294,294,5431,5627,80,Domestic,4
10121,1,6,Lexiplus,2016-01-10,Skokie,IL,4,Chicago,IL,1085,716,7184,7901,73,Domestic,10
10122,1,5,Plusity,2016-08-21,Kalamazoo,MI,3,Bangor,MI,414,414,7683,8396,68,Domestic,9
10123,2,8,Quotefix,2016-01-14,Davenport,IA,2,Appleton,WI,1192,730,1928,2138,97,Domestic,10
10124,2,6,Laex,2016-02-14,Grand Rapids,MI,4,Toledo,OH,773,496,8025,8752,59,Domestic,4
10125,2,6,Tantax,2016-06-03,Milwaukee,WI,4,Springfield,IL,622,425,7765,8068,70,Domestic,6
10126,2,7,Solohex,2016-05-22,Springfield,IL,4,Skokie,IL,701,290,1970,2241,57,Domestic,1
10127,2,8,Zapline,2016-02-09,Chicago,IL,1,Rockford,IL,315,315,6544,7396,61,Domestic,6
10128,2,5,Tamtexon,2016-03-25,Indianapolis,IN,4,Northbrook,IL,1069,362,2981,3523,83,Domestic,6
10129,2,5,D-Zohex,2016-04-04,Northbrook,IL,10,Naperville,IL,365,365,7742,8060,90,International,9
10130,2,7,Joyancom,2016-05-22,Detriot,MI,7,Monon,IN,1114,294,8044,8210,68,International,2
10131,2,8,Zunice,2016-08-31,Joliet,IL,7,Madison,WI,801,427,2219,2646,84,International,7
10132,1,4,Goodquoing,2016-03-11,Monon,IN,7,Lansing,MI,697,495,2594,885,56,International,4
10133,1,4,Flexplex,2016-03-26,Green Bay,WI,3,Joliet,IL,1007,357,4135,2809,81,Domestic,10
10134,1,6,Bluezoombam,2016-07-04,Naperville,IL,3,Indianapolis,IN,759,265,6313,6958,57,Domestic,3
10135,1,5,Cityis,2016-01-03,Rockford,IL,4,Green Bay,WI,492,492,2190,3072,81,Domestic,10
10136,2,5,Kantone,2016-08-14,Appleton,WI,8,Grand Rapids,MI,986,654,389,998,57,International,5
10137,2,6,Treedrill,2016-07-31,Cincinnati,OH,10,Gary,IN,660,570,2773,3203,100,International,4
10138,1,4,Stripzim,2016-03-27,Dayton,OH,3,Elgin,IL,230,230,8556,6617,94,Domestic,8
10139,2,5,Dingquokix,2016-06-20,Toledo,OH,2,Detriot,MI,589,589,3886,4241,52,Domestic,5
10140,2,7,Ronvivalam,2016-03-04,Lansing,MI,3,Dayton,OH,814,714,1649,2329,65,Domestic,6
10141,2,8,Y-Flex,2016-03-30,Bangor,MI,3,Davenport,IA,972,211,5245,5681,68,Domestic,10
10142,2,5,Faxotfind,2016-01-25,Elgin,IL,2,Cincinnati,OH,753,628,1233,1748,86,Domestic,7
10143,1,7,Warelane,2016-01-29,Skokie,IL,1,Chicago,IL,204,204,2931,3392,58,Domestic,1
10144,2,4,Hexunobam,2016-03-09,Kalamazoo,MI,3,Bangor,MI,732,201,7807,5690,54,Domestic,10
10145,1,7,Opehouse,2016-03-13,Grand Rapids,MI,2,Toledo,OH,587,587,3197,3471,90,Domestic,6
10146,1,8,Carekix,2016-07-27,Milwaukee,WI,9,Springfield,IL,981,679,7743,8705,79,International,2
10147,1,5,Ozeris,2016-08-12,Springfield,IL,5,Skokie,IL,540,540,2049,2790,74,International,7
10148,1,7,Singlejob,2016-07-25,Chicago,IL,8,Rockford,IL,1160,564,7265,7854,85,International,9
10149,2,4,Y-Zoom,2016-03-07,Indianapolis,IN,7,Northbrook,IL,393,379,1926,142,52,International,3
10150,1,4,Faxron,2016-08-13,Northbrook,IL,7,Naperville,IL,1146,787,2284,874,98,International,10
10151,1,6,Faseron,2016-06-05,Detriot,MI,2,Monon,IN,307,307,252,757,73,Intercom,10
10152,1,6,Lamlab,2016-03-04,Gary,IN,2,Milwaukee,WI,636,536,7145,7537,72,Domestic,4
10153,2,4,Planetron,2016-08-07,Monon,IN,1,Lansing,MI,305,305,3456,2098,86,Domestic,9
10154,2,5,Stimcore,2016-04-16,Madison,WI,10,Kalamazoo,MI,1047,476,1367,1811,96,International,10
10155,1,5,Zuntone,2016-04-01,Green Bay,WI,7,Joliet,IL,329,329,4455,5455,90,International,2
10156,2,4,Techmedia,2016-02-04,Naperville,IL,2,Indianapolis,IN,832,439,5441,4106,92,Domestic,9
10157,1,8,Labdox,2016-08-08,Rockford,IL,2,Green Bay,WI,760,265,97,738,83,Domestic,7
10158,2,5,Lexidom,2016-01-12,Appleton,WI,1,Grand Rapids,MI,653,207,6603,7192,75,Domestic,8
10159,2,8,Zummatax,2016-07-20,Cincinnati,OH,4,Gary,IN,1055,717,1236,2015,84,Domestic,1
10160,1,7,Saokeycane,2016-02-03,Dayton,OH,3,Elgin,IL,262,262,2650,3413,80,Domestic,1
10161,2,6,Inzone,2016-03-18,Lansing,MI,2,Dayton,OH,1029,475,6911,7281,67,Domestic,4
10162,2,7,Zerlane,2016-02-07,Bangor,MI,2,Davenport,IA,809,555,1754,2692,52,Domestic,9
10163,1,6,Fixace,2016-03-25,Elgin,IL,4,Cincinnati,OH,313,313,3579,4181,60,Domestic,7
10164,1,8,Unaity,2016-02-16,Kalamazoo,MI,6,Bangor,MI,1147,399,294,553,99,International,3
10165,1,6,Scotline,2016-05-30,Davenport,IA,8,Appleton,WI,725,641,3633,3738,89,International,6
10166,2,5,Daltcare,2016-06-30,Grand Rapids,MI,9,Toledo,OH,365,365,4892,5431,58,International,1
10167,2,8,Doubleis,2016-07-31,Milwaukee,WI,10,Springfield,IL,422,422,2300,2928,57,International,7
10168,1,6,Ontohatron,2016-04-22,Springfield,IL,1,Skokie,IL,600,281,859,1174,94,Intercom,7
10169,2,4,Indibase,2016-03-05,Chicago,IL,2,Rockford,IL,328,328,2583,802,71,Domestic,1
10170,2,5,Dongtinlux,2016-06-02,Indianapolis,IN,2,Northbrook,IL,836,712,2144,2515,93,Domestic,8
10171,2,5,Mediaware,2016-01-16,Detriot,MI,9,Monon,IN,530,530,4071,4550,87,International,7
10172,2,8,Goldenlex,2016-03-13,Gary,IN,5,Milwaukee,WI,1152,268,5802,6065,71,International,2
10173,1,4,Canecare,2016-06-04,Joliet,IL,2,Madison,WI,750,672,3456,1506,73,Domestic,2
10174,1,5,Zumcane,2016-01-24,Monon,IN,4,Lansing,MI,392,392,7024,7175,78,Domestic,3
10175,2,5,Ganzsannix,2016-01-18,Green Bay,WI,4,Joliet,IL,813,241,4154,4927,80,Domestic,5
10176,2,6,Yearcorporation,2016-06-03,Naperville,IL,2,Indianapolis,IN,917,665,6418,6544,74,Domestic,1
10177,2,4,Planetware,2016-07-04,Appleton,WI,4,Grand Rapids,MI,937,227,5530,3445,66,Domestic,5
10178,1,5,Indigoice,2016-02-25,Cincinnati,OH,2,Gary,IN,1159,738,897,1853,68,Domestic,4
10179,2,8,Zotfan,2016-02-29,Dayton,OH,4,Elgin,IL,550,421,6668,7405,87,Domestic,7
10180,1,5,Medcan,2016-02-23,Toledo,OH,5,Detriot,MI,400,379,3964,4854,90,International,5
10181,1,7,Dentoelectrics,2016-03-29,Bangor,MI,7,Davenport,IA,211,211,6122,7098,53,International,2
10182,2,7,Conestreet,2016-07-13,Elgin,IL,9,Cincinnati,OH,819,503,4528,5311,67,International,10
10183,2,6,Toncode,2016-05-16,Skokie,IL,8,Chicago,IL,413,291,2270,2520,57,International,9
10184,1,6,Rankphase,2016-08-04,Kalamazoo,MI,2,Bangor,MI,1052,440,5470,6318,79,Intercom,10
10185,1,4,Gravemedia,2016-08-05,Davenport,IA,1,Appleton,WI,972,594,5874,3607,55,Domestic,5
10186,2,6,Alphadax,2016-06-15,Grand Rapids,MI,1,Toledo,OH,324,323,623,1108,84,Domestic,3
10187,1,8,Citytone,2016-04-15,Milwaukee,WI,1,Springfield,IL,347,347,91,942,64,Domestic,7
10188,2,6,Alphafan,2016-04-25,Springfield,IL,7,Skokie,IL,735,735,822,1725,78,International,7
10189,1,7,D-Quadlux,2016-06-01,Chicago,IL,5,Rockford,IL,533,310,6977,7301,68,International,1
10190,2,4,Funlatlex,2016-07-22,Indianapolis,IN,1,Northbrook,IL,797,400,8741,6735,88,Domestic,8
10191,2,6,Wareholding,2016-04-25,Northbrook,IL,4,Naperville,IL,441,441,64,546,98,Domestic,1
10192,1,8,Anzammedia,2016-05-21,Detriot,MI,2,Monon,IN,1014,367,3668,3911,92,Domestic,4
10193,2,8,Qvofix,2016-06-04,Monon,IN,1,Lansing,MI,1196,477,2726,3391,73,Domestic,9
10194,1,7,Isdexon,2016-05-09,Madison,WI,4,Kalamazoo,MI,1116,299,7865,8111,96,Domestic,9
10195,1,7,Faseelectronics,2016-06-02,Green Bay,WI,4,Joliet,IL,343,343,6101,6353,88,Domestic,5
10196,2,7,Golddexon,2016-06-29,Rockford,IL,6,Green Bay,WI,845,503,3701,4343,81,International,1
10197,1,5,Zunhouse,2016-05-31,Appleton,WI,5,Grand Rapids,MI,933,361,3801,4113,65,International,3
10198,2,6,Inchholdings,2016-02-19,Cincinnati,OH,9,Gary,IN,879,765,8478,8987,75,International,9
10199,1,5,Runhigh,2016-07-30,Dayton,OH,6,Elgin,IL,1124,459,4067,4191,60,International,4
10200,1,5,White-High,2016-06-08,Toledo,OH,7,Detriot,MI,1146,670,6868,7134,92,International,2
10201,1,6,Fasezoomfix,2016-02-28,Lansing,MI,2,Dayton,OH,771,654,4975,5427,51,Intercom,3
10202,1,6,Dingcan,2016-03-09,Bangor,MI,3,Davenport,IA,802,703,2842,3827,55,Domestic,2
10203,2,5,Opebase,2016-06-17,Elgin,IL,3,Cincinnati,OH,721,511,6773,7092,88,Domestic,3
10204,2,4,Scotlex,2016-03-06,Kalamazoo,MI,5,Bangor,MI,1107,730,2776,1197,76,International,8
10205,1,6,Good-Find,2016-03-26,Davenport,IA,10,Appleton,WI,337,337,7473,8089,62,International,9
10206,1,8,Plexlamway,2016-05-10,Grand Rapids,MI,4,Toledo,OH,834,580,954,1633,68,Domestic,6
10207,1,8,Latgotrax,2016-04-20,Milwaukee,WI,2,Springfield,IL,939,685,1198,2094,63,Domestic,9
10208,1,5,Hotity,2016-06-15,Springfield,IL,2,Skokie,IL,355,355,5635,6038,55,Domestic,2
10209,1,8,Scothouse,2016-03-15,Chicago,IL,1,Rockford,IL,843,275,605,1133,78,Domestic,1
10210,2,7,Striplane,2016-05-20,Indianapolis,IN,3,Northbrook,IL,397,296,3040,3402,77,Domestic,10
10211,1,5,Technodax,2016-04-15,Northbrook,IL,1,Naperville,IL,599,485,736,1424,98,Domestic,10
10212,1,8,Re-Can,2016-05-28,Detriot,MI,2,Monon,IN,759,695,401,567,65,Domestic,6
10213,2,8,Unatrax,2016-03-22,Gary,IN,1,Milwaukee,WI,614,430,62,638,76,Domestic,3
10214,2,4,Acequote,2016-02-26,Joliet,IL,4,Madison,WI,704,376,6635,4774,68,Domestic,10
10215,2,6,Ganz-Is,2016-08-01,Monon,IN,6,Lansing,MI,723,715,8510,8882,65,International,7
10216,2,8,Sonbam,2016-03-01,Madison,WI,6,Kalamazoo,MI,820,793,5563,5854,82,International,8
10217,2,8,Freebam,2016-05-30,Green Bay,WI,7,Joliet,IL,489,437,1549,1841,100,International,5
10218,2,8,Faxzumtrax,2016-03-07,Naperville,IL,9,Indianapolis,IN,411,411,3865,4172,79,International,9
10219,1,5,Linezatlam,2016-07-06,Appleton,WI,2,Grand Rapids,MI,481,481,1637,1770,50,Intercom,5
10220,1,6,O-Ace,2016-07-09,Cincinnati,OH,3,Gary,IN,660,454,8330,8910,68,Domestic,4
10221,1,7,Statway,2016-02-08,Dayton,OH,4,Elgin,IL,1005,461,157,527,87,Domestic,6
10222,1,4,Zunzone,2016-03-25,Toledo,OH,4,Detriot,MI,383,310,3667,1209,51,Domestic,5
10223,1,5,Hat-Core,2016-03-27,Lansing,MI,10,Dayton,OH,338,338,2821,3750,73,International,8
10224,1,6,Saltfan,2016-06-13,Skokie,IL,3,Chicago,IL,506,410,3997,4478,99,Domestic,5
10225,1,7,Joygreen,2016-06-08,Kalamazoo,MI,2,Bangor,MI,958,406,8395,8500,91,Domestic,5
10226,2,5,Donelectrics,2016-01-04,Davenport,IA,4,Appleton,WI,742,215,4958,5087,58,Domestic,6
10227,2,5,Icedox,2016-08-29,Grand Rapids,MI,2,Toledo,OH,755,576,5104,5273,53,Domestic,1
10228,1,4,Namelectronics,2016-02-26,Milwaukee,WI,3,Springfield,IL,559,271,1751,585,54,Domestic,5
10229,2,4,Donremlane,2016-06-26,Chicago,IL,4,Rockford,IL,778,342,5315,2945,86,Domestic,8
10230,1,5,Ganzlane,2016-07-26,Indianapolis,IN,4,Northbrook,IL,758,681,2995,3970,62,Domestic,3
10231,1,6,Streetlam,2016-07-08,Northbrook,IL,6,Naperville,IL,394,390,1961,2173,71,International,6
10232,1,8,Tonsanhigh,2016-06-21,Detriot,MI,7,Monon,IN,658,658,5263,5873,77,International,6
10233,1,7,Siliconcore,2016-08-13,Gary,IN,5,Milwaukee,WI,313,313,3503,4259,92,International,9
10234,2,5,Dan-High,2016-05-11,Joliet,IL,8,Madison,WI,975,279,976,1088,77,International,7
10235,1,7,Jobtechnology,2016-01-23,Monon,IN,10,Lansing,MI,302,302,679,814,70,International,1
10236,2,6,Daltron,2016-01-21,Madison,WI,2,Kalamazoo,MI,404,404,8216,8605,97,Intercom,7
10237,2,7,Y-Strip,2016-02-07,Green Bay,WI,4,Joliet,IL,313,313,4053,4515,99,Domestic,5
10238,2,8,Danfan,2016-02-16,Naperville,IL,2,Indianapolis,IN,207,207,2683,3245,100,Domestic,2
10239,1,4,Plustaxon,2016-03-13,Rockford,IL,2,Green Bay,WI,239,239,7178,5528,98,Domestic,9
10240,1,8,Truebam,2016-08-01,Appleton,WI,8,Grand Rapids,MI,529,529,7025,7700,71,International,5
10241,1,5,Triootity,2016-08-15,Cincinnati,OH,9,Gary,IN,942,682,5940,6176,86,International,1
10242,1,7,Konknix,2016-07-18,Dayton,OH,2,Elgin,IL,432,359,6187,6387,67,Domestic,8
