,id,default_payment,loan_type,gender,owns_car,owns_house,children,income,amount_credit,amount_annuity,good_price,income_type,education,family_status,house_type,population,birth_in_days,days_employed,owns_mobile,working_mobile,occupation,family_members,org_type,default30,days_last_phone_change,cbr_week,cbr_month,cbr_quarter_,cba_year
26328,130618,1,Cash loans,F,N,Y,0,216000.0,621000.0,31837.5,621000.0,Working,Higher education,Married,House / apartment,0.028663,-10189,-857,1,1,Laborers,2.0,Self-employed,0.0,0.0,0.0,1.0,1.0,1.0
2261,102649,0,Cash loans,M,N,Y,0,135000.0,497520.0,33246.0,450000.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-20781,-7989,1,1,Laborers,2.0,Industry: type 9,0.0,0.0,0.0,1.0,0.0,1.0
42195,148844,0,Cash loans,M,N,Y,2,112500.0,679500.0,30703.5,679500.0,Working,Secondary / secondary special,Married,House / apartment,0.019689,-11591,-4316,1,1,Low-skill Laborers,4.0,Business Entity Type 1,0.0,-264.0,0.0,0.0,0.0,3.0
326,100374,0,Cash loans,F,Y,Y,2,112500.0,1308964.5,42354.0,1143000.0,Working,Secondary / secondary special,Married,House / apartment,0.003813,-14975,-7540,1,1,Laborers,4.0,Transport: type 2,0.0,-644.0,0.0,0.0,0.0,2.0
18371,121432,0,Cash loans,M,Y,Y,1,126000.0,225000.0,23755.5,225000.0,Working,Secondary / secondary special,Married,House / apartment,0.018634,-14097,-2698,1,1,Managers,3.0,Self-employed,0.0,-870.0,0.0,0.0,0.0,6.0
2340,102739,0,Cash loans,F,Y,N,0,180000.0,203760.0,11826.0,180000.0,Commercial associate,Higher education,Married,With parents,0.008474,-13575,-3735,1,1,Unknown,2.0,Government,0.0,0.0,0.0,0.0,0.0,7.0
20992,124464,0,Cash loans,M,Y,N,0,225000.0,1078200.0,31653.0,900000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.02461,-11139,-3257,1,1,Drivers,1.0,Trade: type 7,0.0,-1438.0,0.0,0.0,0.0,1.0
14608,117047,0,Cash loans,F,N,N,1,112500.0,317443.5,15399.0,256500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.010276,-17045,-1350,1,1,Laborers,2.0,Industry: type 1,0.0,0.0,0.0,0.0,0.0,0.0
3691,104306,0,Cash loans,M,Y,Y,0,135000.0,152820.0,18135.0,135000.0,Commercial associate,Higher education,Single / not married,Rented apartment,0.030755,-10179,-1661,1,1,Drivers,1.0,Business Entity Type 3,0.0,-716.0,0.0,0.0,0.0,0.0
39207,145406,0,Cash loans,F,N,Y,0,135000.0,560664.0,18216.0,468000.0,Pensioner,Higher education,Separated,House / apartment,0.018029,-16051,365243,1,1,Unknown,1.0,XNA,0.0,-321.0,0.0,0.0,0.0,0.0
37564,143511,0,Cash loans,F,N,Y,2,67500.0,269550.0,16416.0,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.008068,-18495,365243,1,1,Unknown,4.0,XNA,0.0,-1727.0,0.0,0.0,0.0,2.0
42624,149339,0,Cash loans,F,N,N,0,67500.0,337500.0,17361.0,337500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,-19349,365243,1,1,Unknown,2.0,XNA,3.0,-420.0,0.0,0.0,0.0,0.0
44517,151575,0,Cash loans,F,N,Y,0,67500.0,604152.0,26739.0,540000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.025164,-19549,365243,1,1,Unknown,2.0,XNA,0.0,-2981.0,0.0,0.0,0.0,2.0
8096,109442,0,Revolving loans,M,Y,Y,0,270000.0,450000.0,22500.0,450000.0,Commercial associate,Higher education,Married,House / apartment,0.018029,-20129,-5629,1,1,Managers,2.0,Business Entity Type 2,0.0,-354.0,0.0,1.0,0.0,1.0
7938,109256,0,Cash loans,F,N,Y,0,87750.0,450000.0,22018.5,450000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.018209,-20961,365243,1,1,Unknown,1.0,XNA,0.0,-1626.0,0.0,0.0,0.0,0.0
28519,133148,0,Cash loans,F,N,Y,0,112500.0,197820.0,14197.5,180000.0,Commercial associate,Higher education,Married,House / apartment,0.02461,-20152,-2018,1,1,High skill tech staff,2.0,Self-employed,0.0,-708.0,0.0,0.0,0.0,3.0
35283,140873,0,Cash loans,F,Y,Y,0,90000.0,1327500.0,36504.0,1327500.0,Working,Higher education,Married,House / apartment,0.028663,-17040,-3327,1,1,Laborers,2.0,Self-employed,0.0,-1084.0,0.0,1.0,0.0,3.0
22408,126080,0,Cash loans,F,N,Y,0,166500.0,229500.0,11290.5,229500.0,Working,Secondary / secondary special,Separated,House / apartment,0.006305,-15991,-1190,1,1,Cooking staff,1.0,Business Entity Type 3,2.0,-122.0,0.0,0.0,0.0,4.0
21045,124525,0,Cash loans,F,N,N,0,72000.0,327024.0,15241.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.020246,-11358,-3104,1,1,Sales staff,2.0,Self-employed,0.0,-1202.0,0.0,0.0,0.0,2.0
48356,155996,0,Cash loans,M,N,N,0,135000.0,1272888.0,37345.5,1111500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-15698,-2346,1,1,Laborers,2.0,Business Entity Type 3,0.0,-2551.0,0.0,0.0,0.0,0.0
13856,116151,0,Cash loans,F,N,N,0,139500.0,454500.0,21060.0,454500.0,Working,Higher education,Separated,House / apartment,0.035792,-16203,-7100,1,1,Managers,1.0,Postal,0.0,-2081.0,0.0,1.0,0.0,0.0
13732,116002,0,Cash loans,F,Y,Y,2,135000.0,900000.0,45954.0,900000.0,Working,Higher education,Married,House / apartment,0.026392,-11723,-879,1,1,Unknown,4.0,Transport: type 4,0.0,-2150.0,0.0,0.0,0.0,1.0
37695,143663,0,Cash loans,F,N,Y,0,157500.0,781920.0,28215.0,675000.0,Working,Secondary / secondary special,Married,House / apartment,0.0228,-19310,-7920,1,1,Medicine staff,2.0,Hotel,0.0,-975.0,0.0,0.0,0.0,0.0
30431,135318,1,Cash loans,M,Y,Y,2,166500.0,284400.0,20826.0,225000.0,Working,Higher education,Married,House / apartment,0.010556,-11900,-489,1,1,Unknown,4.0,Other,0.0,-1714.0,0.0,0.0,0.0,2.0
27958,132505,1,Cash loans,M,Y,Y,0,180000.0,508495.5,24462.0,454500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.026392,-9862,-2245,1,1,Laborers,1.0,Business Entity Type 3,0.0,-1690.0,0.0,1.0,2.0,4.0
27306,131732,0,Revolving loans,F,N,Y,0,180000.0,202500.0,10125.0,202500.0,Working,Higher education,Separated,House / apartment,0.005002,-18227,-7849,1,1,Core staff,1.0,School,0.0,-736.0,0.0,0.0,0.0,4.0
47987,155578,0,Cash loans,M,Y,Y,0,135000.0,573628.5,27724.5,463500.0,Working,Secondary / secondary special,Married,With parents,0.01885,-8868,-575,1,1,Core staff,2.0,Restaurant,1.0,-558.0,0.0,0.0,0.0,0.0
11401,113273,0,Cash loans,F,N,Y,1,135000.0,819792.0,34861.5,720000.0,Working,Secondary / secondary special,Married,House / apartment,0.020246,-14430,-1654,1,1,Cleaning staff,3.0,Housing,2.0,-713.0,0.0,0.0,0.0,2.0
14595,117032,0,Cash loans,F,N,N,0,157500.0,1024740.0,45139.5,900000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.019101,-16521,-238,1,1,Laborers,2.0,School,0.0,0.0,0.0,0.0,0.0,1.0
26453,130754,0,Cash loans,M,Y,N,2,202500.0,361462.5,21973.5,274500.0,Working,Secondary / secondary special,Civil marriage,With parents,0.030755,-15711,-1641,1,1,Core staff,4.0,Self-employed,0.0,-362.0,0.0,0.0,0.0,4.0
8727,110156,0,Cash loans,M,Y,Y,0,225000.0,547344.0,33615.0,472500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.011657,-22139,-3507,1,1,Laborers,2.0,Business Entity Type 3,1.0,-1200.0,0.0,0.0,0.0,0.0
2230,102616,0,Revolving loans,F,N,Y,0,157500.0,450000.0,22500.0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.002506,-15755,-1150,1,1,Accountants,2.0,Bank,0.0,-1733.0,0.0,0.0,0.0,3.0
15566,118168,0,Cash loans,F,Y,Y,2,202500.0,225000.0,24003.0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,0.007305,-11069,-2439,1,1,Security staff,3.0,Security,0.0,-240.0,0.0,0.0,0.0,2.0
30057,134893,0,Cash loans,M,N,Y,0,166500.0,157500.0,18819.0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.014464,-8137,-610,1,1,Sales staff,2.0,Self-employed,0.0,-465.0,0.0,1.0,0.0,4.0
45448,152640,0,Cash loans,M,N,N,0,108000.0,298512.0,32278.5,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.022625,-23070,-2546,1,1,Security staff,2.0,Security,0.0,-2114.0,0.0,0.0,0.0,0.0
8261,109629,0,Cash loans,F,N,Y,0,135000.0,1110019.5,36814.5,994500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.019689,-23189,365243,1,1,Unknown,2.0,XNA,0.0,-1200.0,0.0,0.0,1.0,5.0
45621,152843,0,Cash loans,M,Y,Y,0,90000.0,247275.0,19417.5,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.015221,-20989,-2036,1,1,Laborers,2.0,Business Entity Type 3,0.0,-2277.0,0.0,0.0,0.0,0.0
43128,149922,0,Cash loans,M,N,N,2,225000.0,916470.0,26928.0,765000.0,Working,Secondary / secondary special,Married,House / apartment,0.030755,-20166,-2738,1,1,Laborers,4.0,Business Entity Type 3,0.0,-1289.0,0.0,0.0,2.0,1.0
36919,142766,0,Cash loans,F,Y,Y,0,225000.0,746280.0,54436.5,675000.0,Pensioner,Secondary / secondary special,Separated,Municipal apartment,0.072508,-20553,365243,1,1,Unknown,1.0,XNA,0.0,-2432.0,0.0,1.0,0.0,1.0
4325,105059,0,Cash loans,F,N,N,1,112500.0,815733.0,29430.0,688500.0,Working,Secondary / secondary special,Married,With parents,0.019101,-11499,-4006,1,1,Core staff,3.0,Kindergarten,0.0,-1794.0,1.0,0.0,1.0,3.0
17404,120297,0,Cash loans,F,N,Y,0,193500.0,319981.5,12190.5,243000.0,Working,Higher education,Married,House / apartment,0.016612,-23700,-712,1,1,Core staff,2.0,School,0.0,-842.0,0.0,0.0,1.0,6.0
47986,155577,0,Cash loans,F,N,Y,0,225000.0,781920.0,33259.5,675000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.04622,-18516,-1046,1,1,Unknown,1.0,Business Entity Type 1,0.0,-2681.0,0.0,1.0,0.0,3.0
40506,146915,0,Cash loans,F,N,N,0,202500.0,472500.0,44860.5,454500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.032561,-22084,365243,1,1,Unknown,1.0,XNA,0.0,-740.0,0.0,0.0,0.0,0.0
49394,157182,0,Cash loans,F,N,N,0,90000.0,178213.5,12262.5,144000.0,State servant,Secondary / secondary special,Married,House / apartment,0.030755,-20885,-9027,1,1,Medicine staff,2.0,Medicine,0.0,-583.0,0.0,0.0,0.0,0.0
7795,109091,0,Cash loans,M,N,Y,0,225000.0,755190.0,38686.5,675000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.030755,-19874,-439,1,1,Managers,1.0,Self-employed,0.0,-510.0,0.0,0.0,0.0,5.0
29543,134303,1,Cash loans,F,N,Y,1,157500.0,640080.0,29970.0,450000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755,-16322,-195,1,1,Medicine staff,3.0,Medicine,1.0,0.0,0.0,0.0,0.0,4.0
22538,126227,0,Revolving loans,M,Y,Y,0,121500.0,382500.0,19125.0,382500.0,Working,Secondary / secondary special,Widow,House / apartment,0.025164,-23342,-2736,1,1,Laborers,1.0,Trade: type 3,0.0,-205.0,0.0,1.0,0.0,2.0
6482,107562,0,Cash loans,M,N,N,0,99000.0,269550.0,21294.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018634,-13498,-3672,1,1,Laborers,2.0,Housing,1.0,0.0,0.0,0.0,0.0,0.0
11378,113249,0,Cash loans,M,Y,Y,0,112500.0,679500.0,36333.0,679500.0,Working,Secondary / secondary special,Married,House / apartment,0.006008,-22302,-2212,1,1,Drivers,2.0,Trade: type 7,0.0,-1908.0,0.0,0.0,0.0,0.0
10556,112294,0,Revolving loans,F,N,Y,2,67500.0,270000.0,13500.0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-12629,-2355,1,1,Core staff,4.0,Transport: type 2,0.0,-515.0,0.0,0.0,1.0,9.0
38250,144293,0,Cash loans,F,N,Y,1,67500.0,112500.0,7317.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0.018209,-12866,-3154,1,1,Laborers,3.0,Government,0.0,-502.0,0.0,0.0,1.0,5.0
24358,128333,1,Cash loans,F,Y,Y,0,261000.0,701721.0,33889.5,567000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018029,-17796,-746,1,1,Realty agents,2.0,Realtor,0.0,-1563.0,0.0,0.0,0.0,5.0
28881,133558,0,Cash loans,F,N,N,0,135000.0,254700.0,14350.5,225000.0,State servant,Higher education,Married,House / apartment,0.006305,-24206,-646,1,1,Laborers,2.0,Kindergarten,0.0,0.0,0.0,0.0,0.0,2.0
978,101132,0,Revolving loans,F,N,Y,1,157500.0,135000.0,6750.0,135000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.003818,-12926,-1081,1,1,Sales staff,2.0,Self-employed,0.0,-2529.0,1.0,0.0,0.0,0.0
22701,126414,0,Cash loans,F,N,Y,0,135000.0,1129500.0,33156.0,1129500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209,-21509,365243,1,1,Unknown,2.0,XNA,0.0,-2072.0,0.0,0.0,0.0,0.0
9725,111316,0,Cash loans,F,N,N,0,166500.0,900000.0,23872.5,900000.0,Commercial associate,Higher education,Married,House / apartment,0.007114,-10109,-152,1,1,Core staff,2.0,Bank,0.0,-4.0,0.0,0.0,0.0,0.0
39408,145634,0,Cash loans,M,Y,N,0,202500.0,448299.0,24318.0,387000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.016612,-10061,-1617,1,1,Unknown,2.0,Medicine,0.0,-298.0,0.0,0.0,0.0,0.0
22158,125801,0,Cash loans,F,N,Y,1,135000.0,201024.0,11034.0,144000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00733,-12433,-1321,1,1,Medicine staff,3.0,Medicine,0.0,-304.0,0.0,0.0,1.0,5.0
46015,153316,0,Revolving loans,F,Y,N,1,90000.0,180000.0,9000.0,180000.0,Working,Secondary / secondary special,Married,With parents,0.022625,-10595,-1221,1,1,Sales staff,3.0,Trade: type 3,0.0,-534.0,0.0,0.0,0.0,0.0
293,100338,0,Cash loans,F,N,N,0,270000.0,630000.0,23274.0,630000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-21292,-1491,1,1,High skill tech staff,2.0,Trade: type 6,0.0,-115.0,0.0,0.0,0.0,3.0
36095,141805,0,Cash loans,F,N,N,0,90000.0,544491.0,16047.0,454500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.020246,-20652,365243,1,1,Unknown,1.0,XNA,0.0,-2036.0,0.0,0.0,2.0,3.0
42682,149411,1,Cash loans,F,N,Y,0,90000.0,808650.0,26217.0,675000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.018209,-15007,-3434,1,1,Sales staff,2.0,Government,0.0,0.0,0.0,0.0,0.0,0.0
28940,133627,1,Cash loans,F,N,Y,2,67500.0,284400.0,13387.5,225000.0,State servant,Secondary / secondary special,Married,House / apartment,0.031329,-10462,-1785,1,1,Laborers,4.0,Kindergarten,0.0,-1433.0,0.0,0.0,0.0,2.0
6499,107582,0,Cash loans,F,N,Y,2,90000.0,598486.5,21627.0,454500.0,Working,Secondary / secondary special,Married,House / apartment,0.020246,-11544,-1125,1,1,Sales staff,4.0,Self-employed,1.0,-763.0,0.0,0.0,0.0,2.0
13181,115362,0,Revolving loans,M,N,Y,0,238500.0,1012500.0,50625.0,1012500.0,Pensioner,Higher education,Married,House / apartment,0.04622,-22341,365243,1,1,Unknown,2.0,XNA,0.0,-166.0,0.0,0.0,0.0,0.0
2111,102483,0,Cash loans,F,N,N,1,225000.0,1125171.0,47673.0,1035000.0,State servant,Higher education,Married,House / apartment,0.032561,-12021,-1122,1,1,Core staff,3.0,Kindergarten,1.0,-776.0,0.0,0.0,0.0,0.0
2336,102735,0,Revolving loans,F,N,Y,0,54000.0,247500.0,12375.0,247500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,-22790,365243,1,1,Unknown,2.0,XNA,1.0,-1095.0,0.0,0.0,0.0,6.0
38257,144301,0,Cash loans,F,N,Y,0,180000.0,353241.0,39982.5,319500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.025164,-9996,-1374,1,1,Unknown,2.0,Transport: type 4,0.0,-1466.0,0.0,0.0,0.0,2.0
48174,155792,0,Cash loans,F,N,Y,2,157500.0,219069.0,11313.0,148500.0,Working,Higher education,Married,House / apartment,0.00733,-12994,-1689,1,1,Unknown,4.0,Government,0.0,-359.0,0.0,1.0,0.0,1.0
28337,132933,0,Cash loans,M,Y,N,0,180000.0,819000.0,30478.5,819000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.018029,-19395,-1570,1,1,Security staff,1.0,Medicine,1.0,-250.0,0.0,0.0,0.0,0.0
34572,140064,1,Cash loans,M,Y,Y,1,135000.0,868797.0,34456.5,702000.0,Working,Secondary / secondary special,Married,House / apartment,0.006852,-13834,-1260,1,1,Managers,3.0,Self-employed,0.0,0.0,0.0,0.0,0.0,1.0
35001,140554,0,Cash loans,M,N,N,1,135000.0,545040.0,25537.5,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792,-11632,-1154,1,1,Managers,3.0,Trade: type 3,0.0,-1232.0,0.0,0.0,0.0,0.0
18719,121826,0,Cash loans,F,N,Y,0,81000.0,598486.5,21627.0,454500.0,Working,Secondary / secondary special,Single / not married,With parents,0.002134,-8385,-1570,1,1,Laborers,1.0,Business Entity Type 2,3.0,0.0,0.0,0.0,0.0,0.0
3282,103833,0,Cash loans,F,N,Y,0,180000.0,755190.0,32125.5,675000.0,Working,Secondary / secondary special,Married,House / apartment,0.020246,-18374,-320,1,1,Sales staff,2.0,Self-employed,0.0,-854.0,0.0,0.0,0.0,3.0
33343,138630,0,Cash loans,F,N,Y,0,135000.0,758214.0,32256.0,603000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.035792,-22367,365243,1,1,Unknown,2.0,XNA,0.0,-2001.0,0.0,0.0,0.0,6.0
39618,145866,0,Cash loans,M,Y,N,0,72000.0,450000.0,20979.0,450000.0,Working,Incomplete higher,Separated,House / apartment,0.011657,-13110,-1246,1,1,Drivers,1.0,Self-employed,0.0,-3062.0,0.0,0.0,0.0,0.0
27426,131875,0,Cash loans,F,Y,Y,1,90000.0,1133748.0,33277.5,990000.0,Working,Secondary / secondary special,Married,House / apartment,0.025164,-16722,-10089,1,1,Cooking staff,3.0,Kindergarten,0.0,-1267.0,0.0,1.0,0.0,2.0
33697,139038,0,Cash loans,F,Y,Y,2,157500.0,942300.0,27679.5,675000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007305,-11698,-1953,1,1,Unknown,4.0,Other,0.0,-1842.0,0.0,1.0,2.0,4.0
22853,126592,0,Cash loans,F,N,Y,0,67500.0,327024.0,21982.5,270000.0,Working,Secondary / secondary special,Married,House / apartment,0.008474,-12769,-916,1,1,Unknown,2.0,Business Entity Type 3,1.0,-821.0,0.0,0.0,1.0,3.0
7645,108911,0,Cash loans,F,N,Y,0,135000.0,521280.0,31630.5,450000.0,Working,Secondary / secondary special,Married,House / apartment,0.030755,-13075,-5901,1,1,Laborers,2.0,Industry: type 3,0.0,-486.0,0.0,0.0,0.0,0.0
47036,154481,1,Cash loans,M,N,N,0,81000.0,343800.0,16852.5,225000.0,Working,Secondary / secondary special,Single / not married,With parents,0.002134,-9110,-1702,1,1,Laborers,1.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,0.0
23411,127241,0,Cash loans,F,Y,Y,0,90000.0,840780.0,35752.5,751500.0,Working,Secondary / secondary special,Married,House / apartment,0.035792,-21481,-2555,1,1,Medicine staff,2.0,Medicine,0.0,-1105.0,0.0,0.0,0.0,3.0
3563,104163,0,Cash loans,M,Y,Y,0,157500.0,167895.0,17941.5,157500.0,State servant,Secondary / secondary special,Married,House / apartment,0.003813,-9027,-732,1,1,Core staff,2.0,Police,0.0,0.0,0.0,0.0,0.0,1.0
45998,153298,0,Cash loans,F,N,Y,0,112500.0,454500.0,20151.0,454500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.019689,-22217,365243,1,1,Unknown,2.0,XNA,0.0,-3166.0,0.0,0.0,0.0,5.0
