,id,default_payment,loan_type,gender,owns_car,owns_house,children,income,amount_credit,amount_annuity,good_price,income_type,education,family_status,house_type,population,birth_in_days,days_employed,owns_mobile,working_mobile,occupation,family_members,org_type,default30,days_last_phone_change,cbr_week,cbr_month,cbr_quarter_,cba_year
7126,108297,0,Cash loans,F,N,Y,2,45000.0,143910.0,15241.5,135000.0,State servant,Secondary / secondary special,Married,House / apartment,0.02461,-12883,-635,1,1,Core staff,4.0,Kindergarten,0.0,-538.0,0.0,0.0,1.0,1.0
41981,148604,0,Cash loans,F,N,Y,0,225000.0,1046142.0,30586.5,913500.0,Commercial associate,Higher education,Married,House / apartment,0.02461,-20488,-2362,1,1,Accountants,2.0,Business Entity Type 3,0.0,-1576.0,0.0,17.0,0.0,1.0
15816,118456,0,Cash loans,F,N,N,0,157500.0,862560.0,25348.5,720000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.02461,-23349,365243,1,1,Unknown,1.0,XNA,1.0,-170.0,0.0,0.0,0.0,5.0
39092,145272,0,Revolving loans,F,N,Y,0,180000.0,540000.0,27000.0,540000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885,-22143,365243,1,1,Unknown,2.0,XNA,0.0,-1478.0,0.0,0.0,0.0,7.0
1761,102059,0,Cash loans,F,N,Y,0,157500.0,484789.5,22594.5,418500.0,Working,Secondary / secondary special,Married,House / apartment,0.009657,-9367,-2240,1,1,Unknown,2.0,Business Entity Type 3,0.0,-676.0,0.0,0.0,0.0,0.0
38219,144261,0,Cash loans,F,N,N,2,45000.0,646920.0,17194.5,540000.0,Working,Secondary / secondary special,Married,House / apartment,0.019689,-11003,-495,1,1,Sales staff,4.0,Self-employed,0.0,-461.0,0.0,0.0,0.0,0.0
24815,128856,0,Cash loans,F,N,Y,1,180000.0,518562.0,38083.5,463500.0,Working,Secondary / secondary special,Married,House / apartment,0.020713,-13465,-1560,1,1,Cleaning staff,3.0,Business Entity Type 3,0.0,-958.0,0.0,0.0,0.0,0.0
45872,153150,0,Cash loans,F,N,Y,0,90000.0,135000.0,13833.0,135000.0,Pensioner,Higher education,Married,House / apartment,0.019101,-22741,365243,1,1,Unknown,2.0,XNA,0.0,-109.0,0.0,1.0,0.0,2.0
19015,122179,0,Cash loans,F,N,N,0,58500.0,225000.0,16132.5,225000.0,Working,Higher education,Single / not married,House / apartment,0.030755,-13540,-6439,1,1,Sales staff,1.0,Self-employed,0.0,-695.0,0.0,0.0,0.0,0.0
46766,154170,0,Cash loans,M,N,N,0,225000.0,1078200.0,38331.0,900000.0,Working,Secondary / secondary special,Married,House / apartment,0.009549,-15338,-812,1,1,Laborers,2.0,Construction,0.0,-1670.0,0.0,1.0,0.0,2.0
17736,120677,0,Cash loans,F,N,Y,0,225000.0,942300.0,30528.0,675000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.032561,-19006,-12133,1,1,Core staff,1.0,Kindergarten,0.0,-587.0,0.0,0.0,0.0,1.0
36658,142460,0,Cash loans,F,Y,Y,2,180000.0,1027327.5,43654.5,945000.0,Working,Secondary / secondary special,Married,House / apartment,0.003069,-12724,-1057,1,1,Laborers,4.0,Self-employed,0.0,-558.0,0.0,0.0,0.0,0.0
14026,116351,0,Cash loans,F,Y,Y,0,112500.0,810000.0,29223.0,810000.0,Working,Secondary / secondary special,Married,House / apartment,0.019689,-22101,-941,1,1,Sales staff,2.0,Business Entity Type 3,0.0,-1649.0,0.0,1.0,0.0,1.0
7060,108223,0,Cash loans,F,N,Y,0,90000.0,448056.0,16222.5,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0.008019,-22837,365243,1,1,Unknown,1.0,XNA,0.0,0.0,0.0,0.0,0.0,0.0
26236,130517,0,Cash loans,M,Y,N,0,202500.0,612000.0,18022.5,612000.0,Pensioner,Higher education,Married,House / apartment,0.019101,-23485,365243,1,1,Unknown,2.0,XNA,0.0,0.0,0.0,0.0,0.0,1.0
21239,124752,0,Cash loans,F,N,Y,0,166500.0,755190.0,36459.0,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.016612,-16590,-482,1,1,Laborers,1.0,Self-employed,0.0,-975.0,0.0,0.0,1.0,1.0
20577,123994,0,Cash loans,M,N,Y,0,180000.0,1546020.0,45333.0,1350000.0,Working,Secondary / secondary special,Separated,House / apartment,0.010006,-17221,-7928,1,1,Laborers,1.0,Industry: type 4,0.0,-1078.0,0.0,0.0,0.0,0.0
46761,154165,0,Cash loans,M,Y,Y,0,193500.0,1089000.0,46269.0,1089000.0,Working,Secondary / secondary special,Separated,House / apartment,0.01452,-16541,-3556,1,1,Laborers,1.0,Business Entity Type 3,0.0,0.0,0.0,0.0,0.0,0.0
20351,123743,1,Revolving loans,M,N,Y,1,135000.0,135000.0,6750.0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.015221,-9566,-1897,1,1,Managers,3.0,Business Entity Type 3,0.0,-495.0,0.0,0.0,0.0,0.0
6850,107986,0,Cash loans,F,N,Y,0,112500.0,463500.0,18090.0,463500.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-15930,-3455,1,1,Unknown,2.0,Business Entity Type 3,0.0,-1844.0,0.0,0.0,2.0,1.0
30756,135697,1,Revolving loans,F,Y,Y,1,157500.0,135000.0,6750.0,135000.0,Working,Higher education,Married,House / apartment,0.015221,-7962,-1392,1,1,Managers,3.0,Business Entity Type 3,0.0,-1115.0,0.0,1.0,1.0,1.0
35200,140776,0,Cash loans,M,Y,Y,0,225000.0,922716.0,49288.5,855000.0,Working,Secondary / secondary special,Married,House / apartment,0.014464,-11513,-2371,1,1,Sales staff,2.0,Business Entity Type 3,1.0,-699.0,0.0,0.0,0.0,0.0
47592,155129,1,Cash loans,M,Y,Y,1,112500.0,284400.0,18643.5,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020713,-13126,-147,1,1,Drivers,3.0,Transport: type 3,0.0,-39.0,0.0,1.0,2.0,0.0
22724,126439,0,Cash loans,F,Y,Y,1,157500.0,225000.0,23755.5,225000.0,Working,Incomplete higher,Married,House / apartment,0.026392,-11035,-425,1,1,Sales staff,3.0,Trade: type 7,0.0,0.0,0.0,0.0,0.0,0.0
1704,101993,0,Cash loans,M,Y,Y,1,121500.0,675000.0,21775.5,675000.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-13467,-1952,1,1,Laborers,3.0,Housing,0.0,0.0,0.0,0.0,0.0,1.0
700,100809,0,Cash loans,F,N,Y,0,112500.0,95940.0,10201.5,90000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.010276,-18711,-1497,1,1,Sales staff,2.0,Self-employed,0.0,-429.0,0.0,0.0,0.0,2.0
44438,151479,0,Cash loans,F,N,Y,0,72000.0,239850.0,25195.5,225000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.022625,-23037,365243,1,1,Unknown,2.0,XNA,0.0,-579.0,0.0,0.0,0.0,2.0
49961,157832,0,Revolving loans,F,Y,N,2,157500.0,270000.0,13500.0,270000.0,Working,Higher education,Married,House / apartment,0.007114,-11884,-1112,1,1,Unknown,4.0,Business Entity Type 3,1.0,-328.0,0.0,0.0,1.0,2.0
19016,122180,0,Cash loans,F,N,Y,0,180000.0,314055.0,16164.0,238500.0,Working,Secondary / secondary special,Widow,House / apartment,0.002134,-19787,-393,1,1,Sales staff,1.0,Trade: type 7,0.0,-1426.0,0.0,0.0,3.0,6.0
45390,152574,0,Cash loans,M,Y,Y,0,76500.0,129519.0,13729.5,121500.0,Working,Incomplete higher,Married,House / apartment,0.003813,-14663,-1370,1,1,Unknown,2.0,Self-employed,0.0,-1966.0,0.0,0.0,0.0,5.0
30443,135330,0,Cash loans,M,Y,N,0,225000.0,521280.0,44725.5,450000.0,Working,Secondary / secondary special,Married,Municipal apartment,0.031329,-16453,-7818,1,1,Core staff,2.0,Military,0.0,-1860.0,0.0,0.0,0.0,0.0
30484,135378,0,Cash loans,F,N,Y,0,112500.0,152820.0,15016.5,135000.0,Working,Secondary / secondary special,Separated,House / apartment,0.018634,-18288,-315,1,1,Sales staff,1.0,Self-employed,0.0,-489.0,0.0,0.0,0.0,2.0
4022,104704,0,Cash loans,F,N,N,0,112500.0,245268.0,19507.5,202500.0,Commercial associate,Incomplete higher,Civil marriage,With parents,0.030755,-9032,-447,1,1,Core staff,2.0,Mobile,0.0,-72.0,0.0,0.0,1.0,0.0
41771,148365,0,Cash loans,F,N,N,0,112500.0,1515415.5,56290.5,1354500.0,Working,Secondary / secondary special,Married,House / apartment,0.006629,-16388,-4118,1,1,Managers,2.0,Business Entity Type 3,0.0,-1780.0,0.0,0.0,0.0,1.0
5493,106431,1,Cash loans,F,N,Y,0,315000.0,740700.0,31266.0,562500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.020713,-17775,-2603,1,1,Medicine staff,2.0,Medicine,1.0,-1574.0,0.0,2.0,0.0,1.0
37094,142965,1,Cash loans,M,N,Y,0,135000.0,327024.0,16033.5,270000.0,Working,Secondary / secondary special,Separated,House / apartment,0.003818,-13089,-467,1,1,Laborers,1.0,Construction,0.0,-57.0,0.0,0.0,1.0,1.0
43680,150567,0,Cash loans,F,Y,Y,2,144000.0,625536.0,25245.0,540000.0,Working,Secondary / secondary special,Married,House / apartment,0.028663,-10870,-4052,1,1,Cooking staff,4.0,Other,0.0,-598.0,0.0,0.0,0.0,1.0
31966,137076,0,Cash loans,F,N,Y,0,67500.0,47970.0,4873.5,45000.0,Working,Secondary / secondary special,Married,House / apartment,0.035792,-16586,-2906,1,1,Sales staff,2.0,Self-employed,0.0,-2266.0,0.0,0.0,0.0,0.0
15650,118258,0,Cash loans,F,N,Y,0,135000.0,427500.0,20920.5,427500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.028663,-13343,-634,1,1,Medicine staff,2.0,Other,0.0,-443.0,0.0,0.0,0.0,4.0
10747,112515,1,Cash loans,F,N,N,0,157500.0,922500.0,29758.5,922500.0,State servant,Secondary / secondary special,Married,House / apartment,0.028663,-13307,-6751,1,1,Cooking staff,2.0,School,0.0,-1057.0,0.0,0.0,0.0,5.0
20966,124433,0,Cash loans,F,N,Y,0,166500.0,459000.0,15300.0,459000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0.002042,-21089,365243,1,1,Unknown,1.0,XNA,0.0,-1126.0,0.0,0.0,0.0,1.0
40177,146540,0,Cash loans,F,Y,Y,1,135000.0,810000.0,35811.0,810000.0,Working,Secondary / secondary special,Married,House / apartment,0.026392,-16912,-9796,1,1,Core staff,3.0,Bank,0.0,-1772.0,0.0,1.0,0.0,1.0
29444,134189,0,Cash loans,F,N,Y,1,103500.0,1520451.0,40239.0,1359000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.00712,-16067,365243,1,1,Unknown,3.0,XNA,0.0,-1597.0,0.0,1.0,2.0,3.0
8440,109832,0,Cash loans,M,N,N,1,270000.0,1011955.5,43006.5,904500.0,Commercial associate,Higher education,Married,House / apartment,0.016612,-10419,-672,1,1,Laborers,3.0,Self-employed,0.0,-2571.0,0.0,1.0,0.0,3.0
48035,155634,0,Cash loans,M,N,Y,0,180000.0,256500.0,27751.5,256500.0,Commercial associate,Lower secondary,Married,House / apartment,0.026392,-12168,-2994,1,1,Unknown,2.0,Business Entity Type 3,3.0,-792.0,0.0,0.0,0.0,0.0
3768,104400,0,Cash loans,M,N,Y,0,225000.0,207000.0,22423.5,207000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-17861,-1690,1,1,Laborers,2.0,Business Entity Type 3,0.0,-823.0,0.0,1.0,0.0,2.0
30979,135961,0,Cash loans,F,N,Y,0,90000.0,808650.0,23773.5,675000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.005084,-21404,365243,1,1,Unknown,2.0,XNA,0.0,-2523.0,0.0,0.0,0.0,3.0
10247,111930,0,Cash loans,F,N,Y,0,225000.0,545040.0,30564.0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561,-18112,-4309,1,1,Laborers,2.0,Business Entity Type 2,1.0,-1833.0,0.0,12.0,0.0,1.0
41070,147562,0,Cash loans,F,Y,Y,0,315000.0,408780.0,23598.0,337500.0,State servant,Secondary / secondary special,Widow,House / apartment,0.030755,-17682,-6541,1,1,Managers,1.0,Postal,0.0,0.0,0.0,1.0,0.0,8.0
21088,124574,0,Cash loans,F,Y,Y,0,238500.0,175500.0,18558.0,175500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.028663,-21063,365243,1,1,Unknown,2.0,XNA,0.0,-1575.0,0.0,1.0,0.0,7.0
6972,108121,1,Cash loans,M,N,Y,0,157500.0,364896.0,24682.5,315000.0,Working,Secondary / secondary special,Married,House / apartment,0.030755,-16594,-2042,1,1,Laborers,2.0,Self-employed,0.0,-2822.0,0.0,0.0,0.0,2.0
15692,118309,0,Cash loans,M,Y,N,0,297000.0,562491.0,24907.5,454500.0,Working,Secondary / secondary special,Married,House / apartment,0.020713,-13790,-3155,1,1,Laborers,2.0,Business Entity Type 3,0.0,-1838.0,0.0,0.0,0.0,4.0
25168,129270,0,Cash loans,F,N,Y,0,112500.0,253737.0,14296.5,229500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0.00702,-21767,365243,1,1,Unknown,1.0,XNA,0.0,-1545.0,0.0,0.0,0.0,0.0
